날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg10
0,2021-03-01,15,26,26,18,11,13,22,17,12,19,19,12,14,23,18,18,16,17.58823529411765
1,2021-03-02,10,13,11,11,16,12,12,12,10,11,16,14,11,12,9,19,15,12.588235294117647
2,2021-03-03,37,25,32,39,29,29,24,41,25,30,39,29,21,25,22,20,32,29.352941176470587
3,2021-03-04,42,32,43,41,26,33,31,46,32,37,38,30,20,32,28,18,38,33.35294117647059
4,2021-03-05,36,28,36,38,23,38,31,41,30,43,43,35,20,31,25,21,41,32.94117647058823
5,2021-03-06,28,32,35,30,50,32,31,31,21,33,43,50,37,31,31,42,37,34.94117647058823
6,2021-03-07,22,20,21,21,36,30,15,26,17,26,36,40,30,20,21,38,32,26.529411764705884
7,2021-03-08,41,26,36,41,46,59,21,49,32,55,59,54,39,31,29,44,62,42.588235294117645
8,2021-03-09,46,29,40,41,41,56,29,54,42,55,58,51,31,35,30,32,59,42.88235294117647
9,2021-03-10,91,52,57,79,65,56,49,84,57,60,81,70,55,55,50,60,64,63.8235294117647
10,2021-03-11,118,39,51,106,65,63,36,116,57,67,102,82,46,44,37,37,81,67.47058823529412
11,2021-03-12,69,17,25,83,22,43,20,82,44,51,77,37,18,30,15,24,55,41.88235294117647
12,2021-03-13,53,49,42,52,25,36,50,52,50,40,44,34,24,42,31,34,37,40.88235294117647
13,2021-03-14,77,49,52,69,46,52,51,73,60,63,69,58,42,52,39,49,64,56.76470588235294
14,2021-03-15,82,52,55,72,55,54,54,78,59,59,67,53,45,53,42,40,63,57.8235294117647
15,2021-03-16,93,54,60,100,70,71,49,104,75,85,98,79,64,73,57,60,77,74.6470588235294
16,2021-03-17,94,87,89,89,78,90,89,103,81,88,99,86,71,91,65,66,94,85.88235294117646
17,2021-03-18,97,69,73,93,70,86,65,103,70,83,89,73,66,71,63,65,96,78.3529411764706
18,2021-03-19,69,37,41,76,60,43,36,73,55,43,70,65,47,41,37,43,46,51.88235294117647
19,2021-03-20,28,19,20,40,24,23,17,35,28,26,45,36,21,22,17,16,30,26.294117647058822
20,2021-03-21,42,32,36,42,49,44,32,46,34,49,55,51,41,38,30,49,47,42.1764705882353
21,2021-03-22,37,32,33,37,43,43,29,41,32,38,49,46,37,34,30,37,40,37.529411764705884
22,2021-03-23,77,82,85,72,81,92,79,87,84,88,89,86,73,92,71,73,85,82.11764705882354
23,2021-03-24,60,65,61,53,54,53,56,65,62,59,58,56,51,62,51,44,54,56.705882352941174
24,2021-03-25,65,47,57,41,48,51,38,65,56,65,53,49,40,50,45,41,53,50.8235294117647
25,2021-03-26,104,62,61,106,64,68,60,104,64,80,83,69,59,62,50,62,73,72.41176470588235
26,2021-03-27,58,48,48,63,31,43,51,62,43,47,52,39,32,50,38,29,47,45.94117647058823
27,2021-03-28,19,19,15,16,27,14,16,18,19,16,20,21,25,15,17,61,15,20.764705882352942
28,2021-03-29,288,478,367,363,507,400,410,332,222,315,505,564,519,360,452,578,371,413.5882352941176
29,2021-03-30,126,166,96,134,188,168,132,148,76,149,236,290,240,106,119,421,189,175.52941176470588
30,2021-03-31,41,74,66,54,71,46,72,52,37,47,56,56,79,61,71,91,49,60.1764705882353
