,날짜,avg2.5
0,2021-02-01,39.29
1,2021-02-02,16.88
2,2021-02-03,15.65
3,2021-02-04,15.53
4,2021-02-05,15.0
5,2021-02-06,32.0
6,2021-02-07,50.18
7,2021-02-08,12.71
8,2021-02-09,13.18
9,2021-02-10,22.47
10,2021-02-11,37.76
11,2021-02-12,45.35
12,2021-02-13,46.76
13,2021-02-14,47.53
14,2021-02-15,23.47
15,2021-02-16,10.47
16,2021-02-17,9.41
17,2021-02-18,12.06
18,2021-02-19,19.18
19,2021-02-20,35.82
20,2021-02-21,32.82
21,2021-02-22,24.29
22,2021-02-23,12.29
23,2021-02-24,19.94
24,2021-02-25,27.59
25,2021-02-26,17.12
26,2021-02-27,9.88
27,2021-02-28,12.35
