날짜,avg10
0,2021-02-01,64.18
1,2021-02-02,34.76
2,2021-02-03,29.59
3,2021-02-04,28.88
4,2021-02-05,28.47
5,2021-02-06,51.47
6,2021-02-07,77.41
7,2021-02-08,24.18
8,2021-02-09,23.29
9,2021-02-10,36.12
10,2021-02-11,54.94
11,2021-02-12,62.12
12,2021-02-13,63.41
13,2021-02-14,62.41
14,2021-02-15,35.71
15,2021-02-16,20.88
16,2021-02-17,26.24
17,2021-02-18,32.06
18,2021-02-19,36.12
19,2021-02-20,65.65
20,2021-02-21,57.35
21,2021-02-22,49.06
22,2021-02-23,37.29
23,2021-02-24,43.12
24,2021-02-25,46.71
25,2021-02-26,30.29
26,2021-02-27,21.24
27,2021-02-28,23.59
