날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg2.5
0,2021-06-01,22,14,26,20,22,20,15,22,19,22,19,20,19,18,17,15,17,19.235294117647058
1,2021-06-02,29,21,32,30,23,24,28,28,21,25,25,25,21,27,23,14,24,24.705882352941178
2,2021-06-03,17,17,20,19,10,15,23,19,18,19,16,12,9,21,16,5,14,15.882352941176471
3,2021-06-04,12,9,8,12,9,9,11,13,9,10,11,10,7,9,8,7,7,9.470588235294118
4,2021-06-05,23,22,24,29,29,31,25,26,19,27,30,35,23,20,22,22,25,25.41176470588235
5,2021-06-06,34,21,32,34,25,26,30,34,26,34,25,29,20,31,23,16,22,27.176470588235293
6,2021-06-07,17,17,30,19,25,21,28,21,23,23,17,26,16,25,18,12,17,20.88235294117647
7,2021-06-08,23,19,28,25,16,25,25,24,16,26,18,31,15,24,19,11,24,21.705882352941178
8,2021-06-09,23,19,29,37,21,24,24,28,17,26,29,32,20,24,21,14,26,24.352941176470587
9,2021-06-10,34,26,30,41,20,25,30,36,23,24,29,30,19,26,23,14,24,26.705882352941178
10,2021-06-11,13,13,12,10,9,13,15,13,13,15,9,9,9,14,11,5,12,11.470588235294118
11,2021-06-12,12,4,13,16,22,17,10,15,11,21,22,24,14,12,8,10,17,14.588235294117647
12,2021-06-13,19,12,21,14,23,27,18,18,10,25,20,29,17,16,12,14,23,18.705882352941178
13,2021-06-14,24,13,24,18,24,28,13,23,10,24,26,35,18,15,15,20,20,20.58823529411765
14,2021-06-15,16,7,13,19,16,15,8,18,6,14,20,25,11,11,13,11,12,13.823529411764707
15,2021-06-16,4,6,4,5,5,4,5,5,4,5,7,6,5,6,5,6,4,5.0588235294117645
16,2021-06-17,8,9,10,10,10,6,6,9,6,7,7,9,7,8,8,8,5,7.823529411764706
17,2021-06-18,11,15,19,10,8,5,18,11,7,7,8,8,8,14,16,9,4,10.470588235294118
18,2021-06-19,26,23,15,29,16,15,20,29,14,23,22,20,15,14,17,16,14,19.294117647058822
19,2021-06-20,31,26,20,40,22,19,29,34,19,23,27,22,21,20,22,21,19,24.41176470588235
20,2021-06-21,24,22,17,28,20,24,20,29,20,30,31,32,21,18,18,21,20,23.235294117647058
21,2021-06-22,13,9,17,25,18,13,8,18,6,13,20,21,16,12,15,14,14,14.823529411764707
22,2021-06-23,10,9,16,17,17,16,7,12,5,12,19,25,13,10,15,13,13,13.470588235294118
23,2021-06-24,19,9,17,26,14,15,10,21,9,16,21,22,11,12,13,14,14,15.470588235294118
24,2021-06-25,24,16,25,32,14,15,18,27,16,21,19,19,15,19,18,11,14,19.0
25,2021-06-26,13,15,25,19,15,10,18,15,13,11,15,14,15,19,17,15,8,15.117647058823529
26,2021-06-27,12,17,23,16,18,14,18,14,11,14,19,19,17,19,17,20,14,16.58823529411765
27,2021-06-28,15,19,19,19,20,15,17,16,13,14,24,26,21,19,19,15,15,18.0
28,2021-06-29,19,14,16,28,21,16,14,21,12,15,25,26,18,17,17,14,15,18.11764705882353
29,2021-06-30,24,13,22,30,22,21,14,27,14,20,27,23,17,19,18,12,20,20.176470588235293
