날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg10
0,2021-05-01,24,22,28,20,25,33,22,27,22,33,37,34,23,30,21,25,34,27.058823529411764
1,2021-05-02,15,20,17,16,22,17,21,17,16,17,19,21,20,21,18,31,19,19.235294117647058
2,2021-05-03,32,20,26,31,19,22,22,33,23,25,28,22,18,25,18,25,24,24.294117647058822
3,2021-05-04,28,24,25,23,20,28,24,30,27,33,28,25,20,28,20,24,27,25.529411764705884
4,2021-05-05,44,36,37,46,41,42,34,50,33,41,53,47,40,39,36,48,45,41.88235294117647
5,2021-05-06,69,51,54,69,59,75,49,75,66,67,75,70,56,60,49,70,73,63.94117647058823
6,2021-05-07,354,64,97,390,204,230,66,365,214,206,353,263,159,113,81,117,256,207.76470588235293
7,2021-05-08,441,205,183,357,333,436,154,466,408,402,422,370,342,246,208,245,455,333.70588235294116
8,2021-05-09,48,97,74,45,98,103,78,66,59,92,87,103,94,89,75,85,105,82.23529411764706
9,2021-05-10,21,27,26,21,29,20,26,22,21,20,23,26,28,23,24,37,21,24.41176470588235
10,2021-05-11,19,21,26,20,30,16,24,22,19,20,22,22,28,22,24,31,17,22.529411764705884
11,2021-05-12,22,26,24,24,29,20,24,25,19,19,27,27,29,24,26,36,24,25.0
12,2021-05-13,44,24,31,53,41,34,31,49,25,31,48,43,31,29,24,20,35,34.88235294117647
13,2021-05-14,55,23,42,54,33,49,36,58,33,48,54,48,22,37,22,20,47,40.05882352941177
14,2021-05-15,49,14,42,41,17,26,23,43,25,28,34,23,18,30,19,14,27,27.823529411764707
15,2021-05-16,7,9,16,8,7,10,11,8,8,10,11,9,9,17,10,13,10,10.176470588235293
16,2021-05-17,14,13,11,15,12,9,10,12,7,11,16,11,14,10,14,26,13,12.823529411764707
17,2021-05-18,28,14,23,25,19,27,15,30,18,30,30,25,19,21,14,25,32,23.235294117647058
18,2021-05-19,32,36,38,40,30,36,38,37,29,39,35,34,29,35,32,28,33,34.1764705882353
19,2021-05-20,24,19,27,31,22,23,26,31,24,28,33,26,19,27,21,15,27,24.88235294117647
20,2021-05-21,13,16,14,13,20,13,16,14,9,11,18,18,19,14,14,24,14,15.294117647058824
21,2021-05-22,25,21,27,22,20,24,24,26,25,28,24,22,20,27,21,20,24,23.529411764705884
22,2021-05-23,32,37,38,35,29,32,37,34,31,32,37,33,32,37,35,21,33,33.23529411764706
23,2021-05-24,127,28,51,106,51,84,33,127,77,87,111,79,45,49,32,30,103,71.76470588235294
24,2021-05-25,97,70,80,88,104,119,75,100,78,102,107,106,93,94,64,83,118,92.82352941176471
25,2021-05-26,44,36,43,46,40,42,37,46,37,39,46,41,40,41,33,35,42,40.470588235294116
26,2021-05-27,41,23,24,42,31,34,22,44,29,33,45,36,30,27,23,32,33,32.294117647058826
27,2021-05-28,38,40,31,41,42,34,36,39,22,33,44,46,40,30,33,41,36,36.8235294117647
28,2021-05-29,20,26,24,21,32,28,27,24,16,25,31,33,28,23,25,28,28,25.823529411764707
29,2021-05-30,25,29,33,26,33,34,28,29,18,33,32,36,31,27,29,25,32,29.41176470588235
30,2021-05-31,34,27,40,33,37,34,29,36,26,34,30,35,33,33,32,31,35,32.88235294117647
