날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg2.5
0,2021-03-01,10,12,20,13,7,8,13,12,7,12,14,7,7,14,11,6,7,10.588235294117647
1,2021-03-02,6,8,6,7,10,7,7,6,6,7,10,9,7,7,5,8,8,7.294117647058823
2,2021-03-03,23,12,20,25,20,15,12,25,14,19,25,18,12,13,12,9,20,17.294117647058822
3,2021-03-04,27,16,25,26,18,17,18,28,19,24,24,20,11,18,16,8,25,20.0
4,2021-03-05,23,18,23,26,17,22,22,25,14,27,29,25,13,18,17,13,28,21.176470588235293
5,2021-03-06,18,17,21,18,36,17,18,18,10,21,29,37,22,17,17,22,24,21.294117647058822
6,2021-03-07,14,10,12,13,22,14,8,16,9,16,21,23,18,10,12,21,16,15.0
7,2021-03-08,26,15,23,28,33,36,12,32,19,38,41,37,24,18,18,28,43,27.705882352941178
8,2021-03-09,30,16,25,27,27,34,18,35,26,37,39,36,18,21,19,17,42,27.470588235294116
9,2021-03-10,66,28,31,58,45,34,25,60,32,38,58,48,33,27,29,36,44,40.705882352941174
10,2021-03-11,89,15,25,80,45,38,16,87,35,44,73,59,25,20,18,17,58,43.76470588235294
11,2021-03-12,48,12,18,57,18,30,13,60,29,37,59,30,13,20,11,16,38,29.941176470588236
12,2021-03-13,36,27,26,35,19,21,29,34,28,27,31,26,16,23,18,25,23,26.11764705882353
13,2021-03-14,59,32,37,53,37,36,36,56,42,48,53,46,30,35,26,36,48,41.76470588235294
14,2021-03-15,61,37,39,54,41,34,41,58,42,42,48,37,31,37,30,26,44,41.294117647058826
15,2021-03-16,16,21,19,18,20,15,19,17,14,21,21,19,16,20,18,16,14,17.88235294117647
16,2021-03-17,18,19,19,19,19,19,19,21,15,23,22,19,15,19,16,15,21,18.705882352941178
17,2021-03-18,40,16,18,39,23,25,15,40,18,29,32,24,17,18,17,15,32,24.58823529411765
18,2021-03-19,27,12,12,34,23,11,11,27,13,12,29,25,15,12,12,13,12,17.647058823529413
19,2021-03-20,13,10,11,22,15,10,9,17,11,13,25,21,11,11,9,8,13,13.470588235294118
20,2021-03-21,32,18,22,30,30,26,19,32,20,35,36,32,24,23,17,23,28,26.294117647058822
21,2021-03-22,16,15,13,15,15,15,14,15,13,16,19,17,11,14,12,10,14,14.352941176470589
22,2021-03-23,30,24,26,27,31,27,21,32,23,33,35,32,22,24,21,17,32,26.88235294117647
23,2021-03-24,26,20,25,22,24,18,20,28,26,26,25,22,17,23,17,11,24,22.0
24,2021-03-25,32,21,23,22,20,18,18,31,24,27,26,23,15,20,20,15,20,22.058823529411764
25,2021-03-26,68,30,29,67,29,27,27,62,28,39,48,37,23,25,24,22,35,36.470588235294116
26,2021-03-27,34,18,24,38,18,20,23,36,22,25,29,22,16,23,18,11,20,23.352941176470587
27,2021-03-28,14,10,6,11,22,8,9,12,10,10,13,15,16,7,9,45,7,13.176470588235293
28,2021-03-29,50,104,61,67,91,53,85,61,35,53,76,94,78,57,84,118,41,71.05882352941177
29,2021-03-30,27,30,17,28,38,28,22,31,15,31,39,46,35,19,21,73,26,30.941176470588236
30,2021-03-31,17,18,22,25,26,17,19,21,12,22,26,24,19,20,18,19,22,20.41176470588235
