,날짜,avg2.5
0,2021-04-01,16.12
1,2021-04-02,14.41
2,2021-04-03,14.06
3,2021-04-04,5.59
4,2021-04-05,9.65
5,2021-04-06,18.76
6,2021-04-07,27.41
7,2021-04-08,17.82
8,2021-04-09,13.88
9,2021-04-10,14.12
10,2021-04-11,17.65
11,2021-04-12,15.29
12,2021-04-13,7.53
13,2021-04-14,12.18
14,2021-04-15,17.59
15,2021-04-16,18.06
16,2021-04-17,19.24
17,2021-04-18,10.94
18,2021-04-19,17.94
19,2021-04-20,26.76
20,2021-04-21,31.0
21,2021-04-22,28.06
22,2021-04-23,13.94
23,2021-04-24,12.0
24,2021-04-25,13.65
25,2021-04-26,10.0
26,2021-04-27,14.06
27,2021-04-28,19.82
28,2021-04-29,24.29
29,2021-04-30,17.65
