,날짜,avg2.5
0,2021-06-01,19.24
1,2021-06-02,24.71
2,2021-06-03,15.88
3,2021-06-04,9.47
4,2021-06-05,25.41
5,2021-06-06,27.18
6,2021-06-07,20.88
7,2021-06-08,21.71
8,2021-06-09,24.35
9,2021-06-10,26.71
10,2021-06-11,11.47
11,2021-06-12,14.59
12,2021-06-13,18.71
13,2021-06-14,20.59
14,2021-06-15,13.82
15,2021-06-16,5.06
16,2021-06-17,7.82
17,2021-06-18,10.47
18,2021-06-19,19.29
19,2021-06-20,24.41
20,2021-06-21,23.24
21,2021-06-22,14.82
22,2021-06-23,13.47
23,2021-06-24,15.47
24,2021-06-25,19.0
25,2021-06-26,15.12
26,2021-06-27,16.59
27,2021-06-28,18.0
28,2021-06-29,18.12
29,2021-06-30,20.18
