,날짜,avg2.5
0,2021-03-01,10.59
1,2021-03-02,7.29
2,2021-03-03,17.29
3,2021-03-04,20.0
4,2021-03-05,21.18
5,2021-03-06,21.29
6,2021-03-07,15.0
7,2021-03-08,27.71
8,2021-03-09,27.47
9,2021-03-10,40.71
10,2021-03-11,43.76
11,2021-03-12,29.94
12,2021-03-13,26.12
13,2021-03-14,41.76
14,2021-03-15,41.29
15,2021-03-16,17.88
16,2021-03-17,18.71
17,2021-03-18,24.59
18,2021-03-19,17.65
19,2021-03-20,13.47
20,2021-03-21,26.29
21,2021-03-22,14.35
22,2021-03-23,26.88
23,2021-03-24,22.0
24,2021-03-25,22.06
25,2021-03-26,36.47
26,2021-03-27,23.35
27,2021-03-28,13.18
28,2021-03-29,71.06
29,2021-03-30,30.94
30,2021-03-31,20.41
