날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg2.5
0,2021-04-01,13,17,15,16,19,12,16,15,13,16,22,20,14,16,14,18,18,16.11764705882353
1,2021-04-02,13,16,14,15,18,13,13,13,12,14,16,16,15,14,15,18,10,14.411764705882353
2,2021-04-03,13,18,20,16,12,13,19,13,11,15,16,14,10,16,15,8,10,14.058823529411764
3,2021-04-04,5,8,6,6,6,3,7,4,6,5,6,5,5,7,6,7,3,5.588235294117647
4,2021-04-05,10,9,9,12,11,7,9,10,7,11,13,10,9,10,9,8,10,9.647058823529411
5,2021-04-06,22,14,17,23,21,17,16,25,12,22,27,25,15,15,13,12,23,18.764705882352942
6,2021-04-07,32,21,24,34,32,23,22,33,19,28,38,40,23,23,20,26,28,27.41176470588235
7,2021-04-08,15,20,17,15,24,17,18,16,11,19,21,23,16,16,18,20,17,17.823529411764707
8,2021-04-09,16,13,14,16,15,12,13,14,11,12,17,18,14,13,14,12,12,13.882352941176471
9,2021-04-10,18,8,13,16,16,15,9,17,15,18,18,18,12,13,10,9,15,14.117647058823529
10,2021-04-11,24,9,14,22,15,19,10,26,22,25,27,23,10,13,10,9,22,17.647058823529413
11,2021-04-12,20,12,18,19,10,13,16,20,16,15,22,14,8,16,13,8,20,15.294117647058824
12,2021-04-13,8,8,6,8,9,6,7,7,6,9,9,9,7,7,6,11,5,7.529411764705882
13,2021-04-14,14,13,12,12,12,11,11,13,11,15,14,12,10,13,11,10,13,12.176470588235293
14,2021-04-15,23,18,21,20,15,13,20,22,16,19,18,17,12,19,15,13,18,17.58823529411765
15,2021-04-16,19,18,22,24,16,15,20,22,17,18,20,18,14,19,16,11,18,18.058823529411764
16,2021-04-17,16,21,22,20,20,17,25,17,21,21,17,19,16,25,18,19,13,19.235294117647058
17,2021-04-18,13,10,9,12,13,10,10,11,11,12,14,12,10,11,9,9,10,10.941176470588236
18,2021-04-19,22,15,16,19,20,16,15,23,19,22,22,19,14,16,14,12,21,17.941176470588236
19,2021-04-20,34,26,25,25,28,25,28,32,30,35,27,28,20,25,22,17,28,26.764705882352942
20,2021-04-21,37,32,34,36,29,26,40,35,29,35,33,31,23,32,28,19,28,31.0
21,2021-04-22,37,22,32,37,26,23,30,37,25,29,33,25,24,29,24,19,25,28.058823529411764
22,2021-04-23,20,12,11,18,18,9,13,17,16,11,16,10,14,13,12,17,10,13.941176470588236
23,2021-04-24,11,12,12,11,14,10,11,11,11,11,13,12,12,13,13,16,11,12.0
24,2021-04-25,12,12,10,13,19,13,11,13,8,13,20,21,14,11,13,15,14,13.647058823529411
25,2021-04-26,13,7,8,12,12,9,7,12,8,8,17,15,8,8,8,8,10,10.0
26,2021-04-27,14,12,13,14,12,17,15,17,14,18,18,14,10,13,11,10,17,14.058823529411764
27,2021-04-28,24,15,21,23,24,20,19,23,16,21,24,23,16,21,17,13,17,19.823529411764707
28,2021-04-29,21,25,26,28,29,22,26,24,17,24,30,28,23,23,24,23,20,24.294117647058822
29,2021-04-30,17,23,19,13,20,16,21,16,13,16,17,19,17,18,20,22,13,17.647058823529413
