,날짜,avg2.5
0,2021-05-01,13.59
1,2021-05-02,9.41
2,2021-05-03,12.29
3,2021-05-04,12.82
4,2021-05-05,10.65
5,2021-05-06,15.65
6,2021-05-07,48.41
7,2021-05-08,73.94
8,2021-05-09,19.71
9,2021-05-10,9.76
10,2021-05-11,10.94
11,2021-05-12,10.88
12,2021-05-13,18.18
13,2021-05-14,23.12
14,2021-05-15,18.35
15,2021-05-16,5.41
16,2021-05-17,7.0
17,2021-05-18,13.24
18,2021-05-19,20.76
19,2021-05-20,15.47
20,2021-05-21,8.53
21,2021-05-22,13.59
22,2021-05-23,20.71
23,2021-05-24,26.71
24,2021-05-25,27.12
25,2021-05-26,13.82
26,2021-05-27,15.06
27,2021-05-28,19.06
28,2021-05-29,13.18
29,2021-05-30,14.76
30,2021-05-31,16.29
