날짜,avg10
0,2021-06-01,37.94
1,2021-06-02,46.18
2,2021-06-03,26.0
3,2021-06-04,22.29
4,2021-06-05,48.12
5,2021-06-06,50.0
6,2021-06-07,39.65
7,2021-06-08,37.47
8,2021-06-09,40.18
9,2021-06-10,43.12
10,2021-06-11,18.94
11,2021-06-12,23.59
12,2021-06-13,27.71
13,2021-06-14,31.06
14,2021-06-15,21.53
15,2021-06-16,11.59
16,2021-06-17,16.0
17,2021-06-18,17.76
18,2021-06-19,33.29
19,2021-06-20,41.12
20,2021-06-21,38.29
21,2021-06-22,27.24
22,2021-06-23,23.94
23,2021-06-24,26.88
24,2021-06-25,30.82
25,2021-06-26,23.59
26,2021-06-27,25.65
27,2021-06-28,28.0
28,2021-06-29,28.82
29,2021-06-30,31.47
