날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg10
0,2021-02-01,66,45,62,58,78,77,43,71,60,76,80,84,63,55,47,44,82,64.17647058823529
1,2021-02-02,31,48,34,27,36,33,39,32,29,35,34,31,30,37,34,45,36,34.76470588235294
2,2021-02-03,31,26,28,31,30,33,25,34,28,32,31,27,25,27,22,40,33,29.58823529411765
3,2021-02-04,23,34,28,21,35,31,26,24,20,27,30,31,29,27,28,48,29,28.88235294117647
4,2021-02-05,26,26,40,26,34,30,23,30,32,33,28,27,24,31,24,18,32,28.470588235294116
5,2021-02-06,63,44,62,56,49,50,44,66,62,60,61,45,37,56,41,21,58,51.470588235294116
6,2021-02-07,79,73,76,60,82,76,76,81,69,80,84,85,75,77,65,102,76,77.41176470588235
7,2021-02-08,25,25,22,23,26,26,22,27,23,26,27,25,21,23,18,25,27,24.176470588235293
8,2021-02-09,22,22,23,22,23,26,18,27,25,27,28,24,18,23,18,19,31,23.294117647058822
9,2021-02-10,34,45,45,30,31,34,46,37,40,40,36,32,25,42,36,19,42,36.11764705882353
10,2021-02-11,68,54,54,65,47,48,51,69,55,66,63,50,44,54,47,39,60,54.94117647058823
11,2021-02-12,84,48,53,98,57,57,47,90,49,63,91,62,53,50,44,41,69,62.11764705882353
12,2021-02-13,90,45,46,84,54,65,49,95,50,70,97,67,52,49,39,45,81,63.411764705882355
13,2021-02-14,89,41,64,94,50,53,54,93,47,60,95,64,53,54,45,29,76,62.411764705882355
14,2021-02-15,51,28,37,39,32,35,26,49,34,41,47,38,27,32,26,28,37,35.705882352941174
15,2021-02-16,22,22,21,20,22,21,20,22,18,21,23,19,19,20,18,25,22,20.88235294117647
16,2021-02-17,39,23,23,32,16,27,19,39,34,31,33,21,19,25,17,19,29,26.235294117647058
17,2021-02-18,40,27,32,41,25,36,27,44,34,37,37,28,24,33,24,22,34,32.05882352941177
18,2021-02-19,43,34,35,39,31,36,31,46,48,42,39,34,27,36,29,26,38,36.11764705882353
19,2021-02-20,66,59,67,65,64,78,59,69,60,67,83,73,57,67,54,52,76,65.6470588235294
20,2021-02-21,70,56,58,65,52,62,55,72,55,62,64,55,47,58,48,35,61,57.35294117647059
21,2021-02-22,53,44,49,51,51,49,42,59,51,56,53,50,43,48,40,47,48,49.05882352941177
22,2021-02-23,50,26,25,51,36,42,26,56,37,47,49,40,28,31,21,26,43,37.294117647058826
23,2021-02-24,49,32,38,49,52,45,30,59,34,52,61,49,35,38,28,32,50,43.11764705882353
24,2021-02-25,55,33,46,61,38,44,28,66,37,55,78,59,30,38,34,28,64,46.705882352941174
25,2021-02-26,35,21,32,37,20,31,21,39,27,39,51,27,20,28,22,22,43,30.294117647058822
26,2021-02-27,16,24,23,20,20,18,21,20,17,20,25,20,21,22,20,33,21,21.235294117647058
27,2021-02-28,22,24,24,26,21,19,23,28,21,24,30,22,20,24,21,28,24,23.58823529411765
