날짜,avg10
0,2021-03-01,17.59
1,2021-03-02,12.59
2,2021-03-03,29.35
3,2021-03-04,33.35
4,2021-03-05,32.94
5,2021-03-06,34.94
6,2021-03-07,26.53
7,2021-03-08,42.59
8,2021-03-09,42.88
9,2021-03-10,63.82
10,2021-03-11,67.47
11,2021-03-12,41.88
12,2021-03-13,40.88
13,2021-03-14,56.76
14,2021-03-15,57.82
15,2021-03-16,74.65
16,2021-03-17,85.88
17,2021-03-18,78.35
18,2021-03-19,51.88
19,2021-03-20,26.29
20,2021-03-21,42.18
21,2021-03-22,37.53
22,2021-03-23,82.12
23,2021-03-24,56.71
24,2021-03-25,50.82
25,2021-03-26,72.41
26,2021-03-27,45.94
27,2021-03-28,20.76
28,2021-03-29,413.59
29,2021-03-30,175.53
30,2021-03-31,60.18
