날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg2.5
0,2021-02-01,37,27,41,31,56,41,25,42,34,50,49,56,38,34,30,28,49,39.294117647058826
1,2021-02-02,17,27,17,13,18,14,20,15,13,17,16,16,14,18,17,20,15,16.88235294117647
2,2021-02-03,19,15,14,18,17,14,13,18,14,17,18,14,13,14,13,18,17,15.647058823529411
3,2021-02-04,15,19,14,12,21,13,14,14,11,16,17,17,15,14,15,23,14,15.529411764705882
4,2021-02-05,15,13,20,15,18,13,10,18,17,19,16,15,12,15,13,9,17,15.0
5,2021-02-06,42,25,38,35,30,28,27,43,40,39,38,29,22,35,25,12,36,32.0
6,2021-02-07,54,45,50,39,57,43,49,56,45,53,57,60,45,49,40,64,47,50.1764705882353
7,2021-02-08,16,14,11,14,13,12,11,14,13,15,15,13,10,12,10,10,13,12.705882352941176
8,2021-02-09,14,12,13,14,12,14,10,15,14,17,17,14,9,13,10,9,17,13.176470588235293
9,2021-02-10,23,27,27,20,19,19,27,25,26,27,24,21,14,25,21,10,27,22.470588235294116
10,2021-02-11,50,35,37,47,32,29,34,51,39,48,45,35,27,37,31,22,43,37.76470588235294
11,2021-02-12,65,32,38,77,42,37,34,69,35,47,70,47,36,36,31,24,51,45.35294117647059
12,2021-02-13,70,32,33,66,40,43,37,74,35,52,77,52,35,34,28,28,59,46.76470588235294
13,2021-02-14,70,31,49,74,38,34,43,73,33,45,77,52,38,40,34,18,59,47.529411764705884
14,2021-02-15,36,18,26,26,21,20,19,34,21,29,31,26,17,21,17,15,22,23.470588235294116
15,2021-02-16,12,12,10,11,11,9,10,11,9,12,12,9,9,11,10,11,9,10.470588235294118
16,2021-02-17,11,12,8,10,11,8,8,9,9,10,11,10,8,10,8,9,8,9.411764705882353
17,2021-02-18,14,15,13,13,12,11,13,13,13,13,12,10,9,13,11,10,10,12.058823529411764
18,2021-02-19,23,18,18,21,19,18,16,24,24,24,22,19,14,18,16,12,20,19.176470588235293
19,2021-02-20,38,29,35,38,40,37,32,39,35,38,46,42,30,35,29,25,41,35.8235294117647
20,2021-02-21,44,30,33,39,34,31,31,44,30,37,37,31,26,32,27,16,36,32.8235294117647
21,2021-02-22,27,20,21,26,29,24,20,30,24,30,27,27,22,21,19,23,23,24.294117647058822
22,2021-02-23,14,12,9,15,14,12,11,14,11,16,15,13,10,12,10,9,12,12.294117647058824
23,2021-02-24,21,16,17,22,26,18,14,25,14,26,30,25,17,17,14,14,23,19.941176470588236
24,2021-02-25,31,17,27,34,27,24,16,37,19,33,51,42,19,20,20,12,40,27.58823529411765
25,2021-02-26,21,11,19,21,12,17,11,21,14,23,31,16,12,15,12,9,26,17.11764705882353
26,2021-02-27,9,11,10,11,10,8,10,9,9,10,12,9,10,10,10,12,8,9.882352941176471
27,2021-02-28,13,10,13,16,13,9,10,16,11,14,18,13,10,11,11,11,11,12.352941176470589
