날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg2.5
0,2021-05-01,13,12,13,10,14,15,12,13,13,19,17,16,11,16,11,11,15,13.588235294117647
1,2021-05-02,7,11,8,8,13,7,10,7,6,9,10,11,11,10,10,14,8,9.411764705882353
2,2021-05-03,18,10,13,18,11,9,12,16,11,13,14,12,9,11,10,11,11,12.294117647058824
3,2021-05-04,16,11,13,14,10,12,13,16,14,18,14,12,9,14,11,9,12,12.823529411764707
4,2021-05-05,11,11,10,12,12,9,11,11,8,11,12,11,10,10,10,14,8,10.647058823529411
5,2021-05-06,17,14,16,17,16,16,16,17,16,17,16,15,13,16,14,16,14,15.647058823529411
6,2021-05-07,74,20,31,74,59,47,22,83,45,54,78,69,38,33,24,30,42,48.411764705882355
7,2021-05-08,82,61,57,62,93,83,48,94,79,100,86,91,72,68,54,66,61,73.94117647058823
8,2021-05-09,11,28,19,9,28,20,22,13,12,22,19,25,22,22,21,27,15,19.705882352941178
9,2021-05-10,9,11,12,9,10,7,11,10,9,10,10,10,9,10,9,13,7,9.764705882352942
10,2021-05-11,9,11,16,9,14,6,15,9,8,10,11,12,12,13,14,11,6,10.941176470588236
11,2021-05-12,10,11,10,12,16,8,10,10,8,8,12,12,13,10,12,14,9,10.882352941176471
12,2021-05-13,24,11,15,31,25,16,16,26,11,15,26,25,16,13,13,9,17,18.176470588235293
13,2021-05-14,31,13,23,32,21,27,25,32,17,29,31,29,13,21,13,11,25,23.11764705882353
14,2021-05-15,33,9,31,29,11,16,17,27,15,19,23,17,11,20,12,7,15,18.352941176470587
15,2021-05-16,4,4,10,4,4,4,7,4,4,6,5,6,4,10,5,7,4,5.411764705882353
16,2021-05-17,5,8,7,7,8,5,7,6,3,7,9,7,7,5,9,13,6,7.0
17,2021-05-18,14,9,15,14,13,14,10,15,8,19,18,16,11,12,9,13,15,13.235294117647058
18,2021-05-19,18,24,24,26,20,20,27,20,16,25,21,21,17,20,21,17,16,20.764705882352942
19,2021-05-20,12,13,19,18,17,14,20,15,12,17,21,18,13,17,15,8,14,15.470588235294118
20,2021-05-21,7,9,7,8,13,7,11,7,4,7,10,11,10,7,8,12,7,8.529411764705882
21,2021-05-22,15,12,16,13,13,13,16,14,13,17,14,13,11,15,13,11,12,13.588235294117647
22,2021-05-23,21,24,24,24,19,18,26,21,19,20,22,21,20,21,23,11,18,20.705882352941178
23,2021-05-24,33,19,28,29,26,28,23,36,24,34,36,31,21,25,21,15,25,26.705882352941178
24,2021-05-25,26,25,25,25,33,32,26,28,25,31,29,32,25,28,22,29,20,27.11764705882353
25,2021-05-26,15,13,16,15,16,13,14,15,12,14,15,13,14,13,12,13,12,13.823529411764707
26,2021-05-27,18,13,10,19,16,15,13,20,14,17,19,17,14,12,11,16,12,15.058823529411764
27,2021-05-28,21,21,14,23,24,17,20,21,12,19,23,23,20,14,17,21,14,19.058823529411764
28,2021-05-29,11,15,12,11,18,13,17,11,8,13,14,15,15,11,14,15,11,13.176470588235293
29,2021-05-30,13,17,16,14,16,15,18,13,8,17,16,16,16,13,17,12,14,14.764705882352942
30,2021-05-31,18,13,23,18,16,15,18,18,14,18,13,14,16,19,17,14,13,16.294117647058822
