날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,avg10
0,2021-04-01,42,67,66,47,53,57,65,52,48,54,63,55,52,64,53,64,63,56.76470588235294
1,2021-04-02,45,45,46,47,49,53,40,49,48,46,56,51,52,48,48,50,55,48.705882352941174
2,2021-04-03,31,42,39,32,23,35,39,33,30,36,35,28,26,36,35,19,39,32.8235294117647
3,2021-04-04,11,15,11,10,9,6,14,10,15,10,13,9,9,16,12,17,9,11.529411764705882
4,2021-04-05,20,21,19,23,19,16,20,23,16,20,25,19,18,21,19,20,23,20.11764705882353
5,2021-04-06,40,27,33,39,34,34,27,46,28,40,46,41,28,29,25,27,41,34.411764705882355
6,2021-04-07,52,42,43,56,48,43,42,57,39,47,60,60,41,44,37,47,48,47.411764705882355
7,2021-04-08,32,42,36,33,41,34,36,39,27,38,43,44,32,35,35,41,36,36.705882352941174
8,2021-04-09,32,29,31,34,32,27,24,34,26,27,37,37,31,27,27,31,31,30.41176470588235
9,2021-04-10,32,17,23,31,29,32,15,35,29,33,34,35,24,24,19,25,32,27.58823529411765
10,2021-04-11,43,16,25,43,24,36,17,49,42,43,47,39,19,25,19,23,42,32.470588235294116
11,2021-04-12,35,22,28,36,15,24,27,38,31,28,36,22,15,27,21,19,34,26.941176470588236
12,2021-04-13,14,18,14,14,16,18,14,16,14,17,20,18,15,16,15,24,16,16.41176470588235
13,2021-04-14,26,25,27,23,27,27,23,29,24,31,31,27,23,28,23,25,28,26.294117647058822
14,2021-04-15,45,34,40,38,31,32,36,46,33,36,38,35,28,38,29,28,35,35.411764705882355
15,2021-04-16,76,33,42,78,33,37,36,88,67,41,62,41,29,39,30,26,44,47.1764705882353
16,2021-04-17,78,63,122,87,71,91,90,90,122,92,85,82,65,122,60,79,79,86.94117647058823
17,2021-04-18,30,30,27,29,34,29,28,32,30,31,36,36,33,33,27,36,32,31.352941176470587
18,2021-04-19,48,41,43,42,40,43,39,53,50,48,48,43,34,44,34,31,46,42.76470588235294
19,2021-04-20,67,56,58,51,52,57,60,68,63,66,56,56,43,61,47,41,59,56.529411764705884
20,2021-04-21,75,69,71,72,56,57,73,77,61,68,66,62,51,67,57,41,57,63.529411764705884
21,2021-04-22,72,53,69,72,56,56,58,78,55,63,66,56,51,61,51,47,56,60.0
22,2021-04-23,41,34,35,43,46,32,31,45,32,31,42,32,42,33,35,46,33,37.23529411764706
23,2021-04-24,23,27,29,24,31,24,25,26,21,24,29,29,28,28,28,44,27,27.470588235294116
24,2021-04-25,24,28,28,25,33,31,26,28,20,27,38,39,30,29,29,35,32,29.529411764705884
25,2021-04-26,28,18,22,28,27,24,17,31,21,19,37,32,22,21,19,26,27,24.647058823529413
26,2021-04-27,30,25,30,30,25,38,29,38,29,36,37,32,22,30,23,26,39,30.529411764705884
27,2021-04-28,61,31,78,60,85,87,42,68,59,74,75,87,46,79,38,23,77,62.94117647058823
28,2021-04-29,66,65,82,79,93,79,74,76,49,66,84,89,73,68,67,57,72,72.88235294117646
29,2021-04-30,34,64,56,26,43,51,56,35,24,35,40,46,45,54,56,59,41,45.0
