날짜,지역,누적확진자,경북월별확진자
2020-02,경북,488,488
2020-03,경북,1300,812
2020-04,경북,1365,65
2020-05,경북,1379,14
2020-06,경북,1389,10
2020-07,경북,1401,12
2020-08,경북,1455,54
2020-09,경북,1551,96
2020-10,경북,1587,36
2020-11,경북,1704,117
2020-12,경북,2424,720
2021-01,경북,3017,593
2021-02,경북,3253,236
2021-03,경북,3504,251
2021-04,경북,4110,606
2021-05,경북,4692,582
2021-06,경북,4949,257
