,날짜,부산
0,2021-03-01,12
1,2021-03-02,8
2,2021-03-03,12
3,2021-03-04,16
4,2021-03-05,18
5,2021-03-06,17
6,2021-03-07,10
7,2021-03-08,15
8,2021-03-09,16
9,2021-03-10,28
10,2021-03-11,15
11,2021-03-12,12
12,2021-03-13,27
13,2021-03-14,32
14,2021-03-15,37
15,2021-03-16,21
16,2021-03-17,19
17,2021-03-18,16
18,2021-03-19,12
19,2021-03-20,10
20,2021-03-21,18
21,2021-03-22,15
22,2021-03-23,24
23,2021-03-24,20
24,2021-03-25,21
25,2021-03-26,30
26,2021-03-27,18
27,2021-03-28,10
28,2021-03-29,104
29,2021-03-30,30
30,2021-03-31,18
