,날짜,제주
0,2021-03-01,6
1,2021-03-02,8
2,2021-03-03,9
3,2021-03-04,8
4,2021-03-05,13
5,2021-03-06,22
6,2021-03-07,21
7,2021-03-08,28
8,2021-03-09,17
9,2021-03-10,36
10,2021-03-11,17
11,2021-03-12,16
12,2021-03-13,25
13,2021-03-14,36
14,2021-03-15,26
15,2021-03-16,16
16,2021-03-17,15
17,2021-03-18,15
18,2021-03-19,13
19,2021-03-20,8
20,2021-03-21,23
21,2021-03-22,10
22,2021-03-23,17
23,2021-03-24,11
24,2021-03-25,15
25,2021-03-26,22
26,2021-03-27,11
27,2021-03-28,45
28,2021-03-29,118
29,2021-03-30,73
30,2021-03-31,19
