,날짜,대전
0,2021-06-01,20
1,2021-06-02,24
2,2021-06-03,15
3,2021-06-04,9
4,2021-06-05,31
5,2021-06-06,26
6,2021-06-07,21
7,2021-06-08,25
8,2021-06-09,24
9,2021-06-10,25
10,2021-06-11,13
11,2021-06-12,17
12,2021-06-13,27
13,2021-06-14,28
14,2021-06-15,15
15,2021-06-16,4
16,2021-06-17,6
17,2021-06-18,5
18,2021-06-19,15
19,2021-06-20,19
20,2021-06-21,24
21,2021-06-22,13
22,2021-06-23,16
23,2021-06-24,15
24,2021-06-25,15
25,2021-06-26,10
26,2021-06-27,14
27,2021-06-28,15
28,2021-06-29,16
29,2021-06-30,21
