,날짜,경남
0,2021-04-01,14
1,2021-04-02,15
2,2021-04-03,15
3,2021-04-04,6
4,2021-04-05,9
5,2021-04-06,13
6,2021-04-07,20
7,2021-04-08,18
8,2021-04-09,14
9,2021-04-10,10
10,2021-04-11,10
11,2021-04-12,13
12,2021-04-13,6
13,2021-04-14,11
14,2021-04-15,15
15,2021-04-16,16
16,2021-04-17,18
17,2021-04-18,9
18,2021-04-19,14
19,2021-04-20,22
20,2021-04-21,28
21,2021-04-22,24
22,2021-04-23,12
23,2021-04-24,13
24,2021-04-25,13
25,2021-04-26,8
26,2021-04-27,11
27,2021-04-28,17
28,2021-04-29,24
29,2021-04-30,20
