,날짜,대전
0,2021-03-01,8
1,2021-03-02,7
2,2021-03-03,15
3,2021-03-04,17
4,2021-03-05,22
5,2021-03-06,17
6,2021-03-07,14
7,2021-03-08,36
8,2021-03-09,34
9,2021-03-10,34
10,2021-03-11,38
11,2021-03-12,30
12,2021-03-13,21
13,2021-03-14,36
14,2021-03-15,34
15,2021-03-16,15
16,2021-03-17,19
17,2021-03-18,25
18,2021-03-19,11
19,2021-03-20,10
20,2021-03-21,26
21,2021-03-22,15
22,2021-03-23,27
23,2021-03-24,18
24,2021-03-25,18
25,2021-03-26,27
26,2021-03-27,20
27,2021-03-28,8
28,2021-03-29,53
29,2021-03-30,28
30,2021-03-31,17
