,날짜,충북
0,2021-05-01,19
1,2021-05-02,9
2,2021-05-03,13
3,2021-05-04,18
4,2021-05-05,11
5,2021-05-06,17
6,2021-05-07,54
7,2021-05-08,100
8,2021-05-09,22
9,2021-05-10,10
10,2021-05-11,10
11,2021-05-12,8
12,2021-05-13,15
13,2021-05-14,29
14,2021-05-15,19
15,2021-05-16,6
16,2021-05-17,7
17,2021-05-18,19
18,2021-05-19,25
19,2021-05-20,17
20,2021-05-21,7
21,2021-05-22,17
22,2021-05-23,20
23,2021-05-24,34
24,2021-05-25,31
25,2021-05-26,14
26,2021-05-27,17
27,2021-05-28,19
28,2021-05-29,13
29,2021-05-30,17
30,2021-05-31,18
