,날짜,충북
0,2021-06-01,22
1,2021-06-02,25
2,2021-06-03,19
3,2021-06-04,10
4,2021-06-05,27
5,2021-06-06,34
6,2021-06-07,23
7,2021-06-08,26
8,2021-06-09,26
9,2021-06-10,24
10,2021-06-11,15
11,2021-06-12,21
12,2021-06-13,25
13,2021-06-14,24
14,2021-06-15,14
15,2021-06-16,5
16,2021-06-17,7
17,2021-06-18,7
18,2021-06-19,23
19,2021-06-20,23
20,2021-06-21,30
21,2021-06-22,13
22,2021-06-23,12
23,2021-06-24,16
24,2021-06-25,21
25,2021-06-26,11
26,2021-06-27,14
27,2021-06-28,14
28,2021-06-29,15
29,2021-06-30,20
