,날짜,인천
0,2021-01-01,16
1,2021-01-02,11
2,2021-01-03,14
3,2021-01-04,22
4,2021-01-05,13
5,2021-01-06,13
6,2021-01-07,10
7,2021-01-08,10
8,2021-01-09,14
9,2021-01-10,19
10,2021-01-11,33
11,2021-01-12,37
12,2021-01-13,34
13,2021-01-14,25
14,2021-01-15,29
15,2021-01-16,31
16,2021-01-17,11
17,2021-01-18,16
18,2021-01-19,15
19,2021-01-20,24
20,2021-01-21,32
21,2021-01-22,24
22,2021-01-23,11
23,2021-01-24,10
24,2021-01-25,22
25,2021-01-26,30
26,2021-01-27,15
27,2021-01-28,16
28,2021-01-29,10
29,2021-01-30,24
30,2021-01-31,24
31,2021-02-01,31
32,2021-02-02,13
33,2021-02-03,18
34,2021-02-04,12
35,2021-02-05,15
36,2021-02-06,35
37,2021-02-07,39
38,2021-02-08,14
39,2021-02-09,14
40,2021-02-10,20
41,2021-02-11,47
42,2021-02-12,77
43,2021-02-13,66
44,2021-02-14,74
45,2021-02-15,26
46,2021-02-16,11
47,2021-02-17,10
48,2021-02-18,13
49,2021-02-19,21
50,2021-02-20,38
51,2021-02-21,39
52,2021-02-22,26
53,2021-02-23,15
54,2021-02-24,22
55,2021-02-25,34
56,2021-02-26,21
57,2021-02-27,11
58,2021-02-28,16
59,2021-03-01,13
60,2021-03-02,7
61,2021-03-03,25
62,2021-03-04,26
63,2021-03-05,26
64,2021-03-06,18
65,2021-03-07,13
66,2021-03-08,28
67,2021-03-09,27
68,2021-03-10,58
69,2021-03-11,80
70,2021-03-12,57
71,2021-03-13,35
72,2021-03-14,53
73,2021-03-15,54
74,2021-03-16,18
75,2021-03-17,19
76,2021-03-18,39
77,2021-03-19,34
78,2021-03-20,22
79,2021-03-21,30
80,2021-03-22,15
81,2021-03-23,27
82,2021-03-24,22
83,2021-03-25,22
84,2021-03-26,67
85,2021-03-27,38
86,2021-03-28,11
87,2021-03-29,67
88,2021-03-30,28
89,2021-03-31,25
90,2021-04-01,16
91,2021-04-02,15
92,2021-04-03,16
93,2021-04-04,6
94,2021-04-05,12
95,2021-04-06,23
96,2021-04-07,34
97,2021-04-08,15
98,2021-04-09,16
99,2021-04-10,16
100,2021-04-11,22
101,2021-04-12,19
102,2021-04-13,8
103,2021-04-14,12
104,2021-04-15,20
105,2021-04-16,24
106,2021-04-17,20
107,2021-04-18,12
108,2021-04-19,19
109,2021-04-20,25
110,2021-04-21,36
111,2021-04-22,37
112,2021-04-23,18
113,2021-04-24,11
114,2021-04-25,13
115,2021-04-26,12
116,2021-04-27,14
