,날짜,경남
0,2021-03-01,11
1,2021-03-02,5
2,2021-03-03,12
3,2021-03-04,16
4,2021-03-05,17
5,2021-03-06,17
6,2021-03-07,12
7,2021-03-08,18
8,2021-03-09,19
9,2021-03-10,29
10,2021-03-11,18
11,2021-03-12,11
12,2021-03-13,18
13,2021-03-14,26
14,2021-03-15,30
15,2021-03-16,18
16,2021-03-17,16
17,2021-03-18,17
18,2021-03-19,12
19,2021-03-20,9
20,2021-03-21,17
21,2021-03-22,12
22,2021-03-23,21
23,2021-03-24,17
24,2021-03-25,20
25,2021-03-26,24
26,2021-03-27,18
27,2021-03-28,9
28,2021-03-29,84
29,2021-03-30,21
30,2021-03-31,18
