,날짜,경기
0,2021-03-01,12
1,2021-03-02,6
2,2021-03-03,25
3,2021-03-04,28
4,2021-03-05,25
5,2021-03-06,18
6,2021-03-07,16
7,2021-03-08,32
8,2021-03-09,35
9,2021-03-10,60
10,2021-03-11,87
11,2021-03-12,60
12,2021-03-13,34
13,2021-03-14,56
14,2021-03-15,58
15,2021-03-16,17
16,2021-03-17,21
17,2021-03-18,40
18,2021-03-19,27
19,2021-03-20,17
20,2021-03-21,32
21,2021-03-22,15
22,2021-03-23,32
23,2021-03-24,28
24,2021-03-25,31
25,2021-03-26,62
26,2021-03-27,36
27,2021-03-28,12
28,2021-03-29,61
29,2021-03-30,31
30,2021-03-31,21
