,날짜,경남
0,2021-01-01,11
1,2021-01-02,15
2,2021-01-03,13
3,2021-01-04,22
4,2021-01-05,23
5,2021-01-06,10
6,2021-01-07,8
7,2021-01-08,9
8,2021-01-09,10
9,2021-01-10,12
10,2021-01-11,19
11,2021-01-12,22
12,2021-01-13,29
13,2021-01-14,28
14,2021-01-15,22
15,2021-01-16,29
16,2021-01-17,8
17,2021-01-18,20
18,2021-01-19,11
19,2021-01-20,17
20,2021-01-21,21
21,2021-01-22,29
22,2021-01-23,17
23,2021-01-24,10
24,2021-01-25,11
25,2021-01-26,10
26,2021-01-27,14
27,2021-01-28,17
28,2021-01-29,9
29,2021-01-30,22
30,2021-01-31,25
