,날짜,부산
0,2021-05-01,12
1,2021-05-02,11
2,2021-05-03,10
3,2021-05-04,11
4,2021-05-05,11
5,2021-05-06,14
6,2021-05-07,20
7,2021-05-08,61
8,2021-05-09,28
9,2021-05-10,11
10,2021-05-11,11
11,2021-05-12,11
12,2021-05-13,11
13,2021-05-14,13
14,2021-05-15,9
15,2021-05-16,4
16,2021-05-17,8
17,2021-05-18,9
18,2021-05-19,24
19,2021-05-20,13
20,2021-05-21,9
21,2021-05-22,12
22,2021-05-23,24
23,2021-05-24,19
24,2021-05-25,25
25,2021-05-26,13
26,2021-05-27,13
27,2021-05-28,21
28,2021-05-29,15
29,2021-05-30,17
30,2021-05-31,13
