,날짜,서울
0,2021-06-01,22
1,2021-06-02,29
2,2021-06-03,17
3,2021-06-04,12
4,2021-06-05,23
5,2021-06-06,34
6,2021-06-07,17
7,2021-06-08,23
8,2021-06-09,23
9,2021-06-10,34
10,2021-06-11,13
11,2021-06-12,12
12,2021-06-13,19
13,2021-06-14,24
14,2021-06-15,16
15,2021-06-16,4
16,2021-06-17,8
17,2021-06-18,11
18,2021-06-19,26
19,2021-06-20,31
20,2021-06-21,24
21,2021-06-22,13
22,2021-06-23,10
23,2021-06-24,19
24,2021-06-25,24
25,2021-06-26,13
26,2021-06-27,12
27,2021-06-28,15
28,2021-06-29,19
29,2021-06-30,24
