,날짜,전북
0,2021-03-01,7
1,2021-03-02,9
2,2021-03-03,18
3,2021-03-04,20
4,2021-03-05,25
5,2021-03-06,37
6,2021-03-07,23
7,2021-03-08,37
8,2021-03-09,36
9,2021-03-10,48
10,2021-03-11,59
11,2021-03-12,30
12,2021-03-13,26
13,2021-03-14,46
14,2021-03-15,37
15,2021-03-16,19
16,2021-03-17,19
17,2021-03-18,24
18,2021-03-19,25
19,2021-03-20,21
20,2021-03-21,32
21,2021-03-22,17
22,2021-03-23,32
23,2021-03-24,22
24,2021-03-25,23
25,2021-03-26,37
26,2021-03-27,22
27,2021-03-28,15
28,2021-03-29,94
29,2021-03-30,46
30,2021-03-31,24
