,날짜,경북
0,2021-01-01,15
1,2021-01-02,19
2,2021-01-03,16
3,2021-01-04,25
4,2021-01-05,25
5,2021-01-06,13
6,2021-01-07,11
7,2021-01-08,9
8,2021-01-09,11
9,2021-01-10,14
10,2021-01-11,21
11,2021-01-12,27
12,2021-01-13,37
13,2021-01-14,31
14,2021-01-15,27
15,2021-01-16,37
16,2021-01-17,11
17,2021-01-18,21
18,2021-01-19,13
19,2021-01-20,21
20,2021-01-21,30
21,2021-01-22,32
22,2021-01-23,15
23,2021-01-24,10
24,2021-01-25,11
25,2021-01-26,12
26,2021-01-27,19
27,2021-01-28,17
28,2021-01-29,9
29,2021-01-30,22
30,2021-01-31,19
31,2021-02-01,34
32,2021-02-02,18
33,2021-02-03,14
34,2021-02-04,14
35,2021-02-05,15
36,2021-02-06,35
37,2021-02-07,49
38,2021-02-08,12
39,2021-02-09,13
40,2021-02-10,25
41,2021-02-11,37
42,2021-02-12,36
43,2021-02-13,34
44,2021-02-14,40
45,2021-02-15,21
46,2021-02-16,11
47,2021-02-17,10
48,2021-02-18,13
49,2021-02-19,18
50,2021-02-20,35
51,2021-02-21,32
52,2021-02-22,21
53,2021-02-23,12
54,2021-02-24,17
55,2021-02-25,20
56,2021-02-26,15
57,2021-02-27,10
58,2021-02-28,11
59,2021-03-01,14
60,2021-03-02,7
61,2021-03-03,13
62,2021-03-04,18
63,2021-03-05,18
64,2021-03-06,17
65,2021-03-07,10
66,2021-03-08,18
67,2021-03-09,21
68,2021-03-10,27
69,2021-03-11,20
70,2021-03-12,20
71,2021-03-13,23
72,2021-03-14,35
73,2021-03-15,37
74,2021-03-16,20
75,2021-03-17,19
76,2021-03-18,18
77,2021-03-19,12
78,2021-03-20,11
79,2021-03-21,23
80,2021-03-22,14
81,2021-03-23,24
82,2021-03-24,23
83,2021-03-25,20
84,2021-03-26,25
85,2021-03-27,23
86,2021-03-28,7
87,2021-03-29,57
88,2021-03-30,19
89,2021-03-31,20
90,2021-04-01,16
91,2021-04-02,14
92,2021-04-03,16
93,2021-04-04,7
94,2021-04-05,10
95,2021-04-06,15
96,2021-04-07,23
97,2021-04-08,16
98,2021-04-09,13
99,2021-04-10,13
100,2021-04-11,13
101,2021-04-12,16
102,2021-04-13,7
103,2021-04-14,13
104,2021-04-15,19
105,2021-04-16,19
106,2021-04-17,25
107,2021-04-18,11
108,2021-04-19,16
109,2021-04-20,25
110,2021-04-21,32
111,2021-04-22,29
112,2021-04-23,13
113,2021-04-24,13
114,2021-04-25,11
115,2021-04-26,8
116,2021-04-27,13
117,2021-04-28,21
118,2021-04-29,23
119,2021-04-30,18
120,2021-05-01,16
121,2021-05-02,10
122,2021-05-03,11
123,2021-05-04,14
124,2021-05-05,10
125,2021-05-06,16
126,2021-05-07,33
127,2021-05-08,68
128,2021-05-09,22
129,2021-05-10,10
130,2021-05-11,13
131,2021-05-12,10
132,2021-05-13,13
133,2021-05-14,21
134,2021-05-15,20
135,2021-05-16,10
136,2021-05-17,5
137,2021-05-18,12
138,2021-05-19,20
139,2021-05-20,17
140,2021-05-21,7
141,2021-05-22,15
142,2021-05-23,21
143,2021-05-24,25
144,2021-05-25,28
145,2021-05-26,13
146,2021-05-27,12
147,2021-05-28,14
148,2021-05-29,11
149,2021-05-30,13
150,2021-05-31,19
151,2021-06-01,18
152,2021-06-02,27
153,2021-06-03,21
154,2021-06-04,9
155,2021-06-05,20
156,2021-06-06,31
157,2021-06-07,25
158,2021-06-08,24
159,2021-06-09,24
160,2021-06-10,26
161,2021-06-11,14
162,2021-06-12,12
163,2021-06-13,16
164,2021-06-14,15
165,2021-06-15,11
166,2021-06-16,6
167,2021-06-17,8
168,2021-06-18,14
169,2021-06-19,14
170,2021-06-20,20
171,2021-06-21,18
172,2021-06-22,12
173,2021-06-23,10
174,2021-06-24,12
175,2021-06-25,19
176,2021-06-26,19
177,2021-06-27,19
178,2021-06-28,19
179,2021-06-29,17
180,2021-06-30,19
