,날짜,세종
0,2021-01-01,31
1,2021-01-02,23
2,2021-01-03,21
3,2021-01-04,32
4,2021-01-05,21
5,2021-01-06,17
6,2021-01-07,9
7,2021-01-08,14
8,2021-01-09,18
9,2021-01-10,24
10,2021-01-11,42
11,2021-01-12,49
12,2021-01-13,42
13,2021-01-14,42
14,2021-01-15,39
15,2021-01-16,29
16,2021-01-17,9
17,2021-01-18,21
18,2021-01-19,15
19,2021-01-20,32
20,2021-01-21,48
21,2021-01-22,41
22,2021-01-23,17
23,2021-01-24,11
24,2021-01-25,15
25,2021-01-26,20
26,2021-01-27,21
27,2021-01-28,17
28,2021-01-29,9
29,2021-01-30,23
30,2021-01-31,28
31,2021-02-01,49
32,2021-02-02,15
33,2021-02-03,17
34,2021-02-04,14
35,2021-02-05,17
36,2021-02-06,36
37,2021-02-07,47
38,2021-02-08,13
39,2021-02-09,17
40,2021-02-10,27
41,2021-02-11,43
42,2021-02-12,51
43,2021-02-13,59
44,2021-02-14,59
45,2021-02-15,22
46,2021-02-16,9
47,2021-02-17,8
48,2021-02-18,10
49,2021-02-19,20
50,2021-02-20,41
51,2021-02-21,36
52,2021-02-22,23
53,2021-02-23,12
54,2021-02-24,23
55,2021-02-25,40
56,2021-02-26,26
57,2021-02-27,8
58,2021-02-28,11
59,2021-03-01,7
60,2021-03-02,8
61,2021-03-03,20
62,2021-03-04,25
63,2021-03-05,28
64,2021-03-06,24
65,2021-03-07,16
66,2021-03-08,43
67,2021-03-09,42
68,2021-03-10,44
69,2021-03-11,58
70,2021-03-12,38
71,2021-03-13,23
72,2021-03-14,48
73,2021-03-15,44
74,2021-03-16,14
75,2021-03-17,21
76,2021-03-18,32
77,2021-03-19,12
78,2021-03-20,13
79,2021-03-21,28
80,2021-03-22,14
81,2021-03-23,32
82,2021-03-24,24
83,2021-03-25,20
84,2021-03-26,35
85,2021-03-27,20
86,2021-03-28,7
87,2021-03-29,41
88,2021-03-30,26
89,2021-03-31,22
90,2021-04-01,18
91,2021-04-02,10
92,2021-04-03,10
93,2021-04-04,3
94,2021-04-05,10
95,2021-04-06,23
96,2021-04-07,28
97,2021-04-08,17
98,2021-04-09,12
99,2021-04-10,15
100,2021-04-11,22
101,2021-04-12,20
102,2021-04-13,5
103,2021-04-14,13
104,2021-04-15,18
105,2021-04-16,18
106,2021-04-17,13
107,2021-04-18,10
108,2021-04-19,21
109,2021-04-20,28
110,2021-04-21,28
111,2021-04-22,25
112,2021-04-23,10
113,2021-04-24,11
114,2021-04-25,14
115,2021-04-26,10
116,2021-04-27,17
117,2021-04-28,17
118,2021-04-29,20
119,2021-04-30,13
120,2021-05-01,15
121,2021-05-02,8
122,2021-05-03,11
123,2021-05-04,12
124,2021-05-05,8
125,2021-05-06,14
126,2021-05-07,42
127,2021-05-08,61
128,2021-05-09,15
129,2021-05-10,7
130,2021-05-11,6
131,2021-05-12,9
132,2021-05-13,17
133,2021-05-14,25
134,2021-05-15,15
135,2021-05-16,4
136,2021-05-17,6
137,2021-05-18,15
138,2021-05-19,16
139,2021-05-20,14
140,2021-05-21,7
141,2021-05-22,12
142,2021-05-23,18
143,2021-05-24,25
144,2021-05-25,20
145,2021-05-26,12
146,2021-05-27,12
147,2021-05-28,14
148,2021-05-29,11
149,2021-05-30,14
150,2021-05-31,13
151,2021-06-01,17
152,2021-06-02,24
153,2021-06-03,14
154,2021-06-04,7
155,2021-06-05,25
156,2021-06-06,22
157,2021-06-07,17
158,2021-06-08,24
159,2021-06-09,26
160,2021-06-10,24
161,2021-06-11,12
162,2021-06-12,17
163,2021-06-13,23
164,2021-06-14,20
165,2021-06-15,12
166,2021-06-16,4
167,2021-06-17,5
168,2021-06-18,4
169,2021-06-19,14
170,2021-06-20,19
171,2021-06-21,20
172,2021-06-22,14
173,2021-06-23,13
174,2021-06-24,14
175,2021-06-25,14
176,2021-06-26,8
177,2021-06-27,14
178,2021-06-28,15
179,2021-06-29,15
180,2021-06-30,20
