,날짜,대구
0,2021-05-01,13
1,2021-05-02,8
2,2021-05-03,13
3,2021-05-04,13
4,2021-05-05,10
5,2021-05-06,16
6,2021-05-07,31
7,2021-05-08,57
8,2021-05-09,19
9,2021-05-10,12
10,2021-05-11,16
11,2021-05-12,10
12,2021-05-13,15
13,2021-05-14,23
14,2021-05-15,31
15,2021-05-16,10
16,2021-05-17,7
17,2021-05-18,15
18,2021-05-19,24
19,2021-05-20,19
20,2021-05-21,7
21,2021-05-22,16
22,2021-05-23,24
23,2021-05-24,28
24,2021-05-25,25
25,2021-05-26,16
26,2021-05-27,10
27,2021-05-28,14
28,2021-05-29,12
29,2021-05-30,16
30,2021-05-31,23
