,날짜,제주
0,2021-06-01,15
1,2021-06-02,14
2,2021-06-03,5
3,2021-06-04,7
4,2021-06-05,22
5,2021-06-06,16
6,2021-06-07,12
7,2021-06-08,11
8,2021-06-09,14
9,2021-06-10,14
10,2021-06-11,5
11,2021-06-12,10
12,2021-06-13,14
13,2021-06-14,20
14,2021-06-15,11
15,2021-06-16,6
16,2021-06-17,8
17,2021-06-18,9
18,2021-06-19,16
19,2021-06-20,21
20,2021-06-21,21
21,2021-06-22,14
22,2021-06-23,13
23,2021-06-24,14
24,2021-06-25,11
25,2021-06-26,15
26,2021-06-27,20
27,2021-06-28,15
28,2021-06-29,14
29,2021-06-30,12
