,날짜,충남
0,2021-01-01,27
1,2021-01-02,21
2,2021-01-03,21
3,2021-01-04,32
4,2021-01-05,23
5,2021-01-06,17
6,2021-01-07,11
7,2021-01-08,15
8,2021-01-09,19
9,2021-01-10,24
10,2021-01-11,37
11,2021-01-12,43
12,2021-01-13,36
13,2021-01-14,34
14,2021-01-15,36
15,2021-01-16,29
16,2021-01-17,12
17,2021-01-18,24
18,2021-01-19,17
19,2021-01-20,28
20,2021-01-21,37
21,2021-01-22,38
22,2021-01-23,20
23,2021-01-24,12
24,2021-01-25,18
25,2021-01-26,26
26,2021-01-27,22
27,2021-01-28,19
28,2021-01-29,12
29,2021-01-30,33
30,2021-01-31,31
31,2021-02-01,49
32,2021-02-02,16
33,2021-02-03,18
34,2021-02-04,17
35,2021-02-05,16
36,2021-02-06,38
37,2021-02-07,57
38,2021-02-08,15
39,2021-02-09,17
40,2021-02-10,24
41,2021-02-11,45
42,2021-02-12,70
43,2021-02-13,77
44,2021-02-14,77
45,2021-02-15,31
46,2021-02-16,12
47,2021-02-17,11
48,2021-02-18,12
49,2021-02-19,22
50,2021-02-20,46
51,2021-02-21,37
52,2021-02-22,27
53,2021-02-23,15
54,2021-02-24,30
55,2021-02-25,51
56,2021-02-26,31
57,2021-02-27,12
58,2021-02-28,18
59,2021-03-01,14
60,2021-03-02,10
61,2021-03-03,25
62,2021-03-04,24
63,2021-03-05,29
64,2021-03-06,29
65,2021-03-07,21
66,2021-03-08,41
67,2021-03-09,39
68,2021-03-10,58
69,2021-03-11,73
70,2021-03-12,59
71,2021-03-13,31
72,2021-03-14,53
73,2021-03-15,48
74,2021-03-16,21
75,2021-03-17,22
76,2021-03-18,32
77,2021-03-19,29
78,2021-03-20,25
79,2021-03-21,36
80,2021-03-22,19
81,2021-03-23,35
82,2021-03-24,25
83,2021-03-25,26
84,2021-03-26,48
85,2021-03-27,29
86,2021-03-28,13
87,2021-03-29,76
88,2021-03-30,39
89,2021-03-31,26
90,2021-04-01,22
91,2021-04-02,16
92,2021-04-03,16
93,2021-04-04,6
94,2021-04-05,13
95,2021-04-06,27
96,2021-04-07,38
97,2021-04-08,21
98,2021-04-09,17
99,2021-04-10,18
100,2021-04-11,27
101,2021-04-12,22
102,2021-04-13,9
103,2021-04-14,14
104,2021-04-15,18
105,2021-04-16,20
106,2021-04-17,17
107,2021-04-18,14
108,2021-04-19,22
109,2021-04-20,27
110,2021-04-21,33
111,2021-04-22,33
112,2021-04-23,16
113,2021-04-24,13
114,2021-04-25,20
115,2021-04-26,17
116,2021-04-27,18
117,2021-04-28,24
118,2021-04-29,30
119,2021-04-30,17
120,2021-05-01,17
121,2021-05-02,10
122,2021-05-03,14
123,2021-05-04,14
124,2021-05-05,12
125,2021-05-06,16
126,2021-05-07,78
127,2021-05-08,86
128,2021-05-09,19
129,2021-05-10,10
130,2021-05-11,11
131,2021-05-12,12
132,2021-05-13,26
133,2021-05-14,31
134,2021-05-15,23
135,2021-05-16,5
136,2021-05-17,9
137,2021-05-18,18
138,2021-05-19,21
139,2021-05-20,21
140,2021-05-21,10
141,2021-05-22,14
142,2021-05-23,22
143,2021-05-24,36
144,2021-05-25,29
145,2021-05-26,15
146,2021-05-27,19
147,2021-05-28,23
148,2021-05-29,14
149,2021-05-30,16
150,2021-05-31,13
151,2021-06-01,19
152,2021-06-02,25
153,2021-06-03,16
154,2021-06-04,11
155,2021-06-05,30
156,2021-06-06,25
157,2021-06-07,17
158,2021-06-08,18
159,2021-06-09,29
160,2021-06-10,29
161,2021-06-11,9
162,2021-06-12,22
163,2021-06-13,20
164,2021-06-14,26
165,2021-06-15,20
166,2021-06-16,7
167,2021-06-17,7
168,2021-06-18,8
169,2021-06-19,22
170,2021-06-20,27
171,2021-06-21,31
172,2021-06-22,20
173,2021-06-23,19
174,2021-06-24,21
175,2021-06-25,19
176,2021-06-26,15
177,2021-06-27,19
178,2021-06-28,24
179,2021-06-29,25
180,2021-06-30,27
