,날짜,광주
0,2021-04-01,19
1,2021-04-02,18
2,2021-04-03,12
3,2021-04-04,6
4,2021-04-05,11
5,2021-04-06,21
6,2021-04-07,32
7,2021-04-08,24
8,2021-04-09,15
9,2021-04-10,16
10,2021-04-11,15
11,2021-04-12,10
12,2021-04-13,9
13,2021-04-14,12
14,2021-04-15,15
15,2021-04-16,16
16,2021-04-17,20
17,2021-04-18,13
18,2021-04-19,20
19,2021-04-20,28
20,2021-04-21,29
21,2021-04-22,26
22,2021-04-23,18
23,2021-04-24,14
24,2021-04-25,19
25,2021-04-26,12
26,2021-04-27,12
27,2021-04-28,24
28,2021-04-29,29
29,2021-04-30,20
