,날짜,세종
0,2021-03-01,7
1,2021-03-02,8
2,2021-03-03,20
3,2021-03-04,25
4,2021-03-05,28
5,2021-03-06,24
6,2021-03-07,16
7,2021-03-08,43
8,2021-03-09,42
9,2021-03-10,44
10,2021-03-11,58
11,2021-03-12,38
12,2021-03-13,23
13,2021-03-14,48
14,2021-03-15,44
15,2021-03-16,14
16,2021-03-17,21
17,2021-03-18,32
18,2021-03-19,12
19,2021-03-20,13
20,2021-03-21,28
21,2021-03-22,14
22,2021-03-23,32
23,2021-03-24,24
24,2021-03-25,20
25,2021-03-26,35
26,2021-03-27,20
27,2021-03-28,7
28,2021-03-29,41
29,2021-03-30,26
30,2021-03-31,22
