,날짜,대구
0,2021-01-01,15
1,2021-01-02,20
2,2021-01-03,15
3,2021-01-04,26
4,2021-01-05,25
5,2021-01-06,12
6,2021-01-07,10
7,2021-01-08,9
8,2021-01-09,10
9,2021-01-10,14
10,2021-01-11,26
11,2021-01-12,32
12,2021-01-13,38
13,2021-01-14,37
14,2021-01-15,31
15,2021-01-16,37
16,2021-01-17,9
17,2021-01-18,22
18,2021-01-19,13
19,2021-01-20,27
20,2021-01-21,41
21,2021-01-22,47
22,2021-01-23,13
23,2021-01-24,9
24,2021-01-25,14
25,2021-01-26,15
26,2021-01-27,20
27,2021-01-28,19
28,2021-01-29,9
29,2021-01-30,25
30,2021-01-31,25
