,날짜,충남
0,2021-06-01,19
1,2021-06-02,25
2,2021-06-03,16
3,2021-06-04,11
4,2021-06-05,30
5,2021-06-06,25
6,2021-06-07,17
7,2021-06-08,18
8,2021-06-09,29
9,2021-06-10,29
10,2021-06-11,9
11,2021-06-12,22
12,2021-06-13,20
13,2021-06-14,26
14,2021-06-15,20
15,2021-06-16,7
16,2021-06-17,7
17,2021-06-18,8
18,2021-06-19,22
19,2021-06-20,27
20,2021-06-21,31
21,2021-06-22,20
22,2021-06-23,19
23,2021-06-24,21
24,2021-06-25,19
25,2021-06-26,15
26,2021-06-27,19
27,2021-06-28,24
28,2021-06-29,25
29,2021-06-30,27
