,날짜,충남
0,2021-03-01,14
1,2021-03-02,10
2,2021-03-03,25
3,2021-03-04,24
4,2021-03-05,29
5,2021-03-06,29
6,2021-03-07,21
7,2021-03-08,41
8,2021-03-09,39
9,2021-03-10,58
10,2021-03-11,73
11,2021-03-12,59
12,2021-03-13,31
13,2021-03-14,53
14,2021-03-15,48
15,2021-03-16,21
16,2021-03-17,22
17,2021-03-18,32
18,2021-03-19,29
19,2021-03-20,25
20,2021-03-21,36
21,2021-03-22,19
22,2021-03-23,35
23,2021-03-24,25
24,2021-03-25,26
25,2021-03-26,48
26,2021-03-27,29
27,2021-03-28,13
28,2021-03-29,76
29,2021-03-30,39
30,2021-03-31,26
