,날짜,전남
0,2021-06-01,19
1,2021-06-02,21
2,2021-06-03,9
3,2021-06-04,7
4,2021-06-05,23
5,2021-06-06,20
6,2021-06-07,16
7,2021-06-08,15
8,2021-06-09,20
9,2021-06-10,19
10,2021-06-11,9
11,2021-06-12,14
12,2021-06-13,17
13,2021-06-14,18
14,2021-06-15,11
15,2021-06-16,5
16,2021-06-17,7
17,2021-06-18,8
18,2021-06-19,15
19,2021-06-20,21
20,2021-06-21,21
21,2021-06-22,16
22,2021-06-23,13
23,2021-06-24,11
24,2021-06-25,15
25,2021-06-26,15
26,2021-06-27,17
27,2021-06-28,21
28,2021-06-29,18
29,2021-06-30,17
