,날짜,광주
0,2021-06-01,22
1,2021-06-02,23
2,2021-06-03,10
3,2021-06-04,9
4,2021-06-05,29
5,2021-06-06,25
6,2021-06-07,25
7,2021-06-08,16
8,2021-06-09,21
9,2021-06-10,20
10,2021-06-11,9
11,2021-06-12,22
12,2021-06-13,23
13,2021-06-14,24
14,2021-06-15,16
15,2021-06-16,5
16,2021-06-17,10
17,2021-06-18,8
18,2021-06-19,16
19,2021-06-20,22
20,2021-06-21,20
21,2021-06-22,18
22,2021-06-23,17
23,2021-06-24,14
24,2021-06-25,14
25,2021-06-26,15
26,2021-06-27,18
27,2021-06-28,20
28,2021-06-29,21
29,2021-06-30,22
