,날짜,대전
0,2021-05-01,15
1,2021-05-02,7
2,2021-05-03,9
3,2021-05-04,12
4,2021-05-05,9
5,2021-05-06,16
6,2021-05-07,47
7,2021-05-08,83
8,2021-05-09,20
9,2021-05-10,7
10,2021-05-11,6
11,2021-05-12,8
12,2021-05-13,16
13,2021-05-14,27
14,2021-05-15,16
15,2021-05-16,4
16,2021-05-17,5
17,2021-05-18,14
18,2021-05-19,20
19,2021-05-20,14
20,2021-05-21,7
21,2021-05-22,13
22,2021-05-23,18
23,2021-05-24,28
24,2021-05-25,32
25,2021-05-26,13
26,2021-05-27,15
27,2021-05-28,17
28,2021-05-29,13
29,2021-05-30,15
30,2021-05-31,15
