,날짜,전북
0,2021-01-01,19
1,2021-01-02,21
2,2021-01-03,19
3,2021-01-04,29
4,2021-01-05,25
5,2021-01-06,12
6,2021-01-07,7
7,2021-01-08,15
8,2021-01-09,19
9,2021-01-10,22
10,2021-01-11,31
11,2021-01-12,33
12,2021-01-13,31
13,2021-01-14,38
14,2021-01-15,31
15,2021-01-16,26
16,2021-01-17,9
17,2021-01-18,21
18,2021-01-19,12
19,2021-01-20,20
20,2021-01-21,25
21,2021-01-22,28
22,2021-01-23,25
23,2021-01-24,10
24,2021-01-25,15
25,2021-01-26,23
26,2021-01-27,20
27,2021-01-28,18
28,2021-01-29,10
29,2021-01-30,32
30,2021-01-31,31
