,날짜,대구
0,2021-03-01,20
1,2021-03-02,6
2,2021-03-03,20
3,2021-03-04,25
4,2021-03-05,23
5,2021-03-06,21
6,2021-03-07,12
7,2021-03-08,23
8,2021-03-09,25
9,2021-03-10,31
10,2021-03-11,25
11,2021-03-12,18
12,2021-03-13,26
13,2021-03-14,37
14,2021-03-15,39
15,2021-03-16,19
16,2021-03-17,19
17,2021-03-18,18
18,2021-03-19,12
19,2021-03-20,11
20,2021-03-21,22
21,2021-03-22,13
22,2021-03-23,26
23,2021-03-24,25
24,2021-03-25,23
25,2021-03-26,29
26,2021-03-27,24
27,2021-03-28,6
28,2021-03-29,61
29,2021-03-30,17
30,2021-03-31,22
