,날짜,광주
0,2021-01-01,17
1,2021-01-02,20
2,2021-01-03,20
3,2021-01-04,32
4,2021-01-05,28
5,2021-01-06,12
6,2021-01-07,11
7,2021-01-08,14
8,2021-01-09,16
9,2021-01-10,22
10,2021-01-11,27
11,2021-01-12,35
12,2021-01-13,40
13,2021-01-14,40
14,2021-01-15,36
15,2021-01-16,26
16,2021-01-17,12
17,2021-01-18,25
18,2021-01-19,14
19,2021-01-20,20
20,2021-01-21,24
21,2021-01-22,22
22,2021-01-23,20
23,2021-01-24,11
24,2021-01-25,15
25,2021-01-26,18
26,2021-01-27,18
27,2021-01-28,21
28,2021-01-29,13
29,2021-01-30,27
30,2021-01-31,32
31,2021-02-01,56
32,2021-02-02,18
33,2021-02-03,17
34,2021-02-04,21
35,2021-02-05,18
36,2021-02-06,30
37,2021-02-07,57
38,2021-02-08,13
39,2021-02-09,12
40,2021-02-10,19
41,2021-02-11,32
42,2021-02-12,42
43,2021-02-13,40
44,2021-02-14,38
45,2021-02-15,21
46,2021-02-16,11
47,2021-02-17,11
48,2021-02-18,12
49,2021-02-19,19
50,2021-02-20,40
51,2021-02-21,34
52,2021-02-22,29
53,2021-02-23,14
54,2021-02-24,26
55,2021-02-25,27
56,2021-02-26,12
57,2021-02-27,10
58,2021-02-28,13
59,2021-03-01,7
60,2021-03-02,10
61,2021-03-03,20
62,2021-03-04,18
63,2021-03-05,17
64,2021-03-06,36
65,2021-03-07,22
66,2021-03-08,33
67,2021-03-09,27
68,2021-03-10,45
69,2021-03-11,45
70,2021-03-12,18
71,2021-03-13,19
72,2021-03-14,37
73,2021-03-15,41
74,2021-03-16,20
75,2021-03-17,19
76,2021-03-18,23
77,2021-03-19,23
78,2021-03-20,15
79,2021-03-21,30
80,2021-03-22,15
81,2021-03-23,31
82,2021-03-24,24
83,2021-03-25,20
84,2021-03-26,29
85,2021-03-27,18
86,2021-03-28,22
87,2021-03-29,91
88,2021-03-30,38
89,2021-03-31,26
90,2021-04-01,19
91,2021-04-02,18
92,2021-04-03,12
93,2021-04-04,6
94,2021-04-05,11
95,2021-04-06,21
96,2021-04-07,32
97,2021-04-08,24
98,2021-04-09,15
99,2021-04-10,16
100,2021-04-11,15
101,2021-04-12,10
102,2021-04-13,9
103,2021-04-14,12
104,2021-04-15,15
105,2021-04-16,16
106,2021-04-17,20
107,2021-04-18,13
108,2021-04-19,20
109,2021-04-20,28
110,2021-04-21,29
111,2021-04-22,26
112,2021-04-23,18
113,2021-04-24,14
114,2021-04-25,19
115,2021-04-26,12
116,2021-04-27,12
117,2021-04-28,24
118,2021-04-29,29
119,2021-04-30,20
120,2021-05-01,14
121,2021-05-02,13
122,2021-05-03,11
123,2021-05-04,10
124,2021-05-05,12
125,2021-05-06,16
126,2021-05-07,59
127,2021-05-08,93
128,2021-05-09,28
129,2021-05-10,10
130,2021-05-11,14
131,2021-05-12,16
132,2021-05-13,25
133,2021-05-14,21
134,2021-05-15,11
135,2021-05-16,4
136,2021-05-17,8
137,2021-05-18,13
138,2021-05-19,20
139,2021-05-20,17
140,2021-05-21,13
141,2021-05-22,13
142,2021-05-23,19
143,2021-05-24,26
144,2021-05-25,33
145,2021-05-26,16
146,2021-05-27,16
147,2021-05-28,24
148,2021-05-29,18
149,2021-05-30,16
150,2021-05-31,16
151,2021-06-01,22
152,2021-06-02,23
153,2021-06-03,10
154,2021-06-04,9
155,2021-06-05,29
156,2021-06-06,25
157,2021-06-07,25
158,2021-06-08,16
159,2021-06-09,21
160,2021-06-10,20
161,2021-06-11,9
162,2021-06-12,22
163,2021-06-13,23
164,2021-06-14,24
165,2021-06-15,16
166,2021-06-16,5
167,2021-06-17,10
168,2021-06-18,8
169,2021-06-19,16
170,2021-06-20,22
171,2021-06-21,20
172,2021-06-22,18
173,2021-06-23,17
174,2021-06-24,14
175,2021-06-25,14
176,2021-06-26,15
177,2021-06-27,18
178,2021-06-28,20
179,2021-06-29,21
180,2021-06-30,22
