,날짜,강원
0,2021-04-01,13
1,2021-04-02,12
2,2021-04-03,11
3,2021-04-04,6
4,2021-04-05,7
5,2021-04-06,12
6,2021-04-07,19
7,2021-04-08,11
8,2021-04-09,11
9,2021-04-10,15
10,2021-04-11,22
11,2021-04-12,16
12,2021-04-13,6
13,2021-04-14,11
14,2021-04-15,16
15,2021-04-16,17
16,2021-04-17,21
17,2021-04-18,11
18,2021-04-19,19
19,2021-04-20,30
20,2021-04-21,29
21,2021-04-22,25
22,2021-04-23,16
23,2021-04-24,11
24,2021-04-25,8
25,2021-04-26,8
26,2021-04-27,14
27,2021-04-28,16
28,2021-04-29,17
29,2021-04-30,13
