,날짜,충남
0,2021-05-01,17
1,2021-05-02,10
2,2021-05-03,14
3,2021-05-04,14
4,2021-05-05,12
5,2021-05-06,16
6,2021-05-07,78
7,2021-05-08,86
8,2021-05-09,19
9,2021-05-10,10
10,2021-05-11,11
11,2021-05-12,12
12,2021-05-13,26
13,2021-05-14,31
14,2021-05-15,23
15,2021-05-16,5
16,2021-05-17,9
17,2021-05-18,18
18,2021-05-19,21
19,2021-05-20,21
20,2021-05-21,10
21,2021-05-22,14
22,2021-05-23,22
23,2021-05-24,36
24,2021-05-25,29
25,2021-05-26,15
26,2021-05-27,19
27,2021-05-28,23
28,2021-05-29,14
29,2021-05-30,16
30,2021-05-31,13
