,날짜,전남
0,2021-04-01,14
1,2021-04-02,15
2,2021-04-03,10
3,2021-04-04,5
4,2021-04-05,9
5,2021-04-06,15
6,2021-04-07,23
7,2021-04-08,16
8,2021-04-09,14
9,2021-04-10,12
10,2021-04-11,10
11,2021-04-12,8
12,2021-04-13,7
13,2021-04-14,10
14,2021-04-15,12
15,2021-04-16,14
16,2021-04-17,16
17,2021-04-18,10
18,2021-04-19,14
19,2021-04-20,20
20,2021-04-21,23
21,2021-04-22,24
22,2021-04-23,14
23,2021-04-24,12
24,2021-04-25,14
25,2021-04-26,8
26,2021-04-27,10
27,2021-04-28,16
28,2021-04-29,23
29,2021-04-30,17
