,날짜,광주
0,2021-05-01,14
1,2021-05-02,13
2,2021-05-03,11
3,2021-05-04,10
4,2021-05-05,12
5,2021-05-06,16
6,2021-05-07,59
7,2021-05-08,93
8,2021-05-09,28
9,2021-05-10,10
10,2021-05-11,14
11,2021-05-12,16
12,2021-05-13,25
13,2021-05-14,21
14,2021-05-15,11
15,2021-05-16,4
16,2021-05-17,8
17,2021-05-18,13
18,2021-05-19,20
19,2021-05-20,17
20,2021-05-21,13
21,2021-05-22,13
22,2021-05-23,19
23,2021-05-24,26
24,2021-05-25,33
25,2021-05-26,16
26,2021-05-27,16
27,2021-05-28,24
28,2021-05-29,18
29,2021-05-30,16
30,2021-05-31,16
