,날짜,울산
0,2021-03-01,13
1,2021-03-02,7
2,2021-03-03,12
3,2021-03-04,18
4,2021-03-05,22
5,2021-03-06,18
6,2021-03-07,8
7,2021-03-08,12
8,2021-03-09,18
9,2021-03-10,25
10,2021-03-11,16
11,2021-03-12,13
12,2021-03-13,29
13,2021-03-14,36
14,2021-03-15,41
15,2021-03-16,19
16,2021-03-17,19
17,2021-03-18,15
18,2021-03-19,11
19,2021-03-20,9
20,2021-03-21,19
21,2021-03-22,14
22,2021-03-23,21
23,2021-03-24,20
24,2021-03-25,18
25,2021-03-26,27
26,2021-03-27,23
27,2021-03-28,9
28,2021-03-29,85
29,2021-03-30,22
30,2021-03-31,19
