,날짜,경북
0,2021-03-01,14
1,2021-03-02,7
2,2021-03-03,13
3,2021-03-04,18
4,2021-03-05,18
5,2021-03-06,17
6,2021-03-07,10
7,2021-03-08,18
8,2021-03-09,21
9,2021-03-10,27
10,2021-03-11,20
11,2021-03-12,20
12,2021-03-13,23
13,2021-03-14,35
14,2021-03-15,37
15,2021-03-16,20
16,2021-03-17,19
17,2021-03-18,18
18,2021-03-19,12
19,2021-03-20,11
20,2021-03-21,23
21,2021-03-22,14
22,2021-03-23,24
23,2021-03-24,23
24,2021-03-25,20
25,2021-03-26,25
26,2021-03-27,23
27,2021-03-28,7
28,2021-03-29,57
29,2021-03-30,19
30,2021-03-31,20
