,날짜,충북
0,2021-03-01,12
1,2021-03-02,7
2,2021-03-03,19
3,2021-03-04,24
4,2021-03-05,27
5,2021-03-06,21
6,2021-03-07,16
7,2021-03-08,38
8,2021-03-09,37
9,2021-03-10,38
10,2021-03-11,44
11,2021-03-12,37
12,2021-03-13,27
13,2021-03-14,48
14,2021-03-15,42
15,2021-03-16,21
16,2021-03-17,23
17,2021-03-18,29
18,2021-03-19,12
19,2021-03-20,13
20,2021-03-21,35
21,2021-03-22,16
22,2021-03-23,33
23,2021-03-24,26
24,2021-03-25,27
25,2021-03-26,39
26,2021-03-27,25
27,2021-03-28,10
28,2021-03-29,53
29,2021-03-30,31
30,2021-03-31,22
