,날짜,강원
0,2021-05-01,13
1,2021-05-02,6
2,2021-05-03,11
3,2021-05-04,14
4,2021-05-05,8
5,2021-05-06,16
6,2021-05-07,45
7,2021-05-08,79
8,2021-05-09,12
9,2021-05-10,9
10,2021-05-11,8
11,2021-05-12,8
12,2021-05-13,11
13,2021-05-14,17
14,2021-05-15,15
15,2021-05-16,4
16,2021-05-17,3
17,2021-05-18,8
18,2021-05-19,16
19,2021-05-20,12
20,2021-05-21,4
21,2021-05-22,13
22,2021-05-23,19
23,2021-05-24,24
24,2021-05-25,25
25,2021-05-26,12
26,2021-05-27,14
27,2021-05-28,12
28,2021-05-29,8
29,2021-05-30,8
30,2021-05-31,14
