,날짜,울산
0,2021-01-01,11
1,2021-01-02,17
2,2021-01-03,12
3,2021-01-04,21
4,2021-01-05,24
5,2021-01-06,10
6,2021-01-07,9
7,2021-01-08,7
8,2021-01-09,7
9,2021-01-10,10
10,2021-01-11,18
11,2021-01-12,19
12,2021-01-13,34
13,2021-01-14,28
14,2021-01-15,22
15,2021-01-16,33
16,2021-01-17,8
17,2021-01-18,24
18,2021-01-19,11
19,2021-01-20,16
20,2021-01-21,28
21,2021-01-22,30
22,2021-01-23,13
23,2021-01-24,11
24,2021-01-25,8
25,2021-01-26,9
26,2021-01-27,16
27,2021-01-28,15
28,2021-01-29,8
29,2021-01-30,22
30,2021-01-31,20
31,2021-02-01,25
32,2021-02-02,20
33,2021-02-03,13
34,2021-02-04,14
35,2021-02-05,10
36,2021-02-06,27
37,2021-02-07,49
38,2021-02-08,11
39,2021-02-09,10
40,2021-02-10,27
41,2021-02-11,34
42,2021-02-12,34
43,2021-02-13,37
44,2021-02-14,43
45,2021-02-15,19
46,2021-02-16,10
47,2021-02-17,8
48,2021-02-18,13
49,2021-02-19,16
50,2021-02-20,32
51,2021-02-21,31
52,2021-02-22,20
53,2021-02-23,11
54,2021-02-24,14
55,2021-02-25,16
56,2021-02-26,11
57,2021-02-27,10
58,2021-02-28,10
59,2021-03-01,13
60,2021-03-02,7
61,2021-03-03,12
62,2021-03-04,18
63,2021-03-05,22
64,2021-03-06,18
65,2021-03-07,8
66,2021-03-08,12
67,2021-03-09,18
68,2021-03-10,25
69,2021-03-11,16
70,2021-03-12,13
71,2021-03-13,29
72,2021-03-14,36
73,2021-03-15,41
74,2021-03-16,19
75,2021-03-17,19
76,2021-03-18,15
77,2021-03-19,11
78,2021-03-20,9
79,2021-03-21,19
80,2021-03-22,14
81,2021-03-23,21
82,2021-03-24,20
83,2021-03-25,18
84,2021-03-26,27
85,2021-03-27,23
86,2021-03-28,9
87,2021-03-29,85
88,2021-03-30,22
89,2021-03-31,19
90,2021-04-01,16
91,2021-04-02,13
92,2021-04-03,19
93,2021-04-04,7
94,2021-04-05,9
95,2021-04-06,16
96,2021-04-07,22
97,2021-04-08,18
98,2021-04-09,13
99,2021-04-10,9
100,2021-04-11,10
101,2021-04-12,16
102,2021-04-13,7
103,2021-04-14,11
104,2021-04-15,20
105,2021-04-16,20
106,2021-04-17,25
107,2021-04-18,10
108,2021-04-19,15
109,2021-04-20,28
110,2021-04-21,40
111,2021-04-22,30
112,2021-04-23,13
113,2021-04-24,11
114,2021-04-25,11
115,2021-04-26,7
116,2021-04-27,15
117,2021-04-28,19
118,2021-04-29,26
119,2021-04-30,21
120,2021-05-01,12
121,2021-05-02,10
122,2021-05-03,12
123,2021-05-04,13
124,2021-05-05,11
125,2021-05-06,16
126,2021-05-07,22
127,2021-05-08,48
128,2021-05-09,22
129,2021-05-10,11
130,2021-05-11,15
131,2021-05-12,10
132,2021-05-13,16
133,2021-05-14,25
134,2021-05-15,17
135,2021-05-16,7
136,2021-05-17,7
137,2021-05-18,10
138,2021-05-19,27
139,2021-05-20,20
140,2021-05-21,11
141,2021-05-22,16
142,2021-05-23,26
143,2021-05-24,23
144,2021-05-25,26
145,2021-05-26,14
146,2021-05-27,13
147,2021-05-28,20
148,2021-05-29,17
149,2021-05-30,18
150,2021-05-31,18
151,2021-06-01,15
152,2021-06-02,28
153,2021-06-03,23
154,2021-06-04,11
155,2021-06-05,25
156,2021-06-06,30
157,2021-06-07,28
158,2021-06-08,25
159,2021-06-09,24
160,2021-06-10,30
161,2021-06-11,15
162,2021-06-12,10
163,2021-06-13,18
164,2021-06-14,13
165,2021-06-15,8
166,2021-06-16,5
167,2021-06-17,6
168,2021-06-18,18
169,2021-06-19,20
170,2021-06-20,29
171,2021-06-21,20
172,2021-06-22,8
173,2021-06-23,7
174,2021-06-24,10
175,2021-06-25,18
176,2021-06-26,18
177,2021-06-27,18
178,2021-06-28,17
179,2021-06-29,14
180,2021-06-30,14
