,날짜,울산
0,2021-05-01,12
1,2021-05-02,10
2,2021-05-03,12
3,2021-05-04,13
4,2021-05-05,11
5,2021-05-06,16
6,2021-05-07,22
7,2021-05-08,48
8,2021-05-09,22
9,2021-05-10,11
10,2021-05-11,15
11,2021-05-12,10
12,2021-05-13,16
13,2021-05-14,25
14,2021-05-15,17
15,2021-05-16,7
16,2021-05-17,7
17,2021-05-18,10
18,2021-05-19,27
19,2021-05-20,20
20,2021-05-21,11
21,2021-05-22,16
22,2021-05-23,26
23,2021-05-24,23
24,2021-05-25,26
25,2021-05-26,14
26,2021-05-27,13
27,2021-05-28,20
28,2021-05-29,17
29,2021-05-30,18
30,2021-05-31,18
