,날짜,전북
0,2021-01-01,19
1,2021-01-02,21
2,2021-01-03,19
3,2021-01-04,29
4,2021-01-05,25
5,2021-01-06,12
6,2021-01-07,7
7,2021-01-08,15
8,2021-01-09,19
9,2021-01-10,22
10,2021-01-11,31
11,2021-01-12,33
12,2021-01-13,31
13,2021-01-14,38
14,2021-01-15,31
15,2021-01-16,26
16,2021-01-17,9
17,2021-01-18,21
18,2021-01-19,12
19,2021-01-20,20
20,2021-01-21,25
21,2021-01-22,28
22,2021-01-23,25
23,2021-01-24,10
24,2021-01-25,15
25,2021-01-26,23
26,2021-01-27,20
27,2021-01-28,18
28,2021-01-29,10
29,2021-01-30,32
30,2021-01-31,31
31,2021-02-01,56
32,2021-02-02,16
33,2021-02-03,14
34,2021-02-04,17
35,2021-02-05,15
36,2021-02-06,29
37,2021-02-07,60
38,2021-02-08,13
39,2021-02-09,14
40,2021-02-10,21
41,2021-02-11,35
42,2021-02-12,47
43,2021-02-13,52
44,2021-02-14,52
45,2021-02-15,26
46,2021-02-16,9
47,2021-02-17,10
48,2021-02-18,10
49,2021-02-19,19
50,2021-02-20,42
51,2021-02-21,31
52,2021-02-22,27
53,2021-02-23,13
54,2021-02-24,25
55,2021-02-25,42
56,2021-02-26,16
57,2021-02-27,9
58,2021-02-28,13
59,2021-03-01,7
60,2021-03-02,9
61,2021-03-03,18
62,2021-03-04,20
63,2021-03-05,25
64,2021-03-06,37
65,2021-03-07,23
66,2021-03-08,37
67,2021-03-09,36
68,2021-03-10,48
69,2021-03-11,59
70,2021-03-12,30
71,2021-03-13,26
72,2021-03-14,46
73,2021-03-15,37
74,2021-03-16,19
75,2021-03-17,19
76,2021-03-18,24
77,2021-03-19,25
78,2021-03-20,21
79,2021-03-21,32
80,2021-03-22,17
81,2021-03-23,32
82,2021-03-24,22
83,2021-03-25,23
84,2021-03-26,37
85,2021-03-27,22
86,2021-03-28,15
87,2021-03-29,94
88,2021-03-30,46
89,2021-03-31,24
90,2021-04-01,20
91,2021-04-02,16
92,2021-04-03,14
93,2021-04-04,5
94,2021-04-05,10
95,2021-04-06,25
96,2021-04-07,40
97,2021-04-08,23
98,2021-04-09,18
99,2021-04-10,18
100,2021-04-11,23
101,2021-04-12,14
102,2021-04-13,9
103,2021-04-14,12
104,2021-04-15,17
105,2021-04-16,18
106,2021-04-17,19
107,2021-04-18,12
108,2021-04-19,19
109,2021-04-20,28
110,2021-04-21,31
111,2021-04-22,25
112,2021-04-23,10
113,2021-04-24,12
114,2021-04-25,21
115,2021-04-26,15
116,2021-04-27,14
117,2021-04-28,23
118,2021-04-29,28
119,2021-04-30,19
120,2021-05-01,16
121,2021-05-02,11
122,2021-05-03,12
123,2021-05-04,12
124,2021-05-05,11
125,2021-05-06,15
126,2021-05-07,69
127,2021-05-08,91
128,2021-05-09,25
129,2021-05-10,10
130,2021-05-11,12
131,2021-05-12,12
132,2021-05-13,25
133,2021-05-14,29
134,2021-05-15,17
135,2021-05-16,6
136,2021-05-17,7
137,2021-05-18,16
138,2021-05-19,21
139,2021-05-20,18
140,2021-05-21,11
141,2021-05-22,13
142,2021-05-23,21
143,2021-05-24,31
144,2021-05-25,32
145,2021-05-26,13
146,2021-05-27,17
147,2021-05-28,23
148,2021-05-29,15
149,2021-05-30,16
150,2021-05-31,14
151,2021-06-01,20
152,2021-06-02,25
153,2021-06-03,12
154,2021-06-04,10
155,2021-06-05,35
156,2021-06-06,29
157,2021-06-07,26
158,2021-06-08,31
159,2021-06-09,32
160,2021-06-10,30
161,2021-06-11,9
162,2021-06-12,24
163,2021-06-13,29
164,2021-06-14,35
165,2021-06-15,25
166,2021-06-16,6
167,2021-06-17,9
168,2021-06-18,8
169,2021-06-19,20
170,2021-06-20,22
171,2021-06-21,32
172,2021-06-22,21
173,2021-06-23,25
174,2021-06-24,22
175,2021-06-25,19
176,2021-06-26,14
177,2021-06-27,19
178,2021-06-28,26
179,2021-06-29,26
180,2021-06-30,23
