,날짜,경기
0,2021-05-01,13
1,2021-05-02,7
2,2021-05-03,16
3,2021-05-04,16
4,2021-05-05,11
5,2021-05-06,17
6,2021-05-07,83
7,2021-05-08,94
8,2021-05-09,13
9,2021-05-10,10
10,2021-05-11,9
11,2021-05-12,10
12,2021-05-13,26
13,2021-05-14,32
14,2021-05-15,27
15,2021-05-16,4
16,2021-05-17,6
17,2021-05-18,15
18,2021-05-19,20
19,2021-05-20,15
20,2021-05-21,7
21,2021-05-22,14
22,2021-05-23,21
23,2021-05-24,36
24,2021-05-25,28
25,2021-05-26,15
26,2021-05-27,20
27,2021-05-28,21
28,2021-05-29,11
29,2021-05-30,13
30,2021-05-31,18
