,날짜,서울
0,2021-01-01,16
1,2021-01-02,11
2,2021-01-03,14
3,2021-01-04,22
4,2021-01-05,15
5,2021-01-06,13
6,2021-01-07,11
7,2021-01-08,10
8,2021-01-09,15
9,2021-01-10,22
10,2021-01-11,32
11,2021-01-12,47
12,2021-01-13,45
13,2021-01-14,29
14,2021-01-15,34
15,2021-01-16,35
16,2021-01-17,13
17,2021-01-18,17
18,2021-01-19,15
19,2021-01-20,25
20,2021-01-21,30
21,2021-01-22,31
22,2021-01-23,8
23,2021-01-24,9
24,2021-01-25,16
25,2021-01-26,28
26,2021-01-27,18
27,2021-01-28,16
28,2021-01-29,9
29,2021-01-30,23
30,2021-01-31,27
31,2021-02-01,37
32,2021-02-02,17
33,2021-02-03,19
34,2021-02-04,15
35,2021-02-05,15
36,2021-02-06,42
37,2021-02-07,54
38,2021-02-08,16
39,2021-02-09,14
40,2021-02-10,23
41,2021-02-11,50
42,2021-02-12,65
43,2021-02-13,70
44,2021-02-14,70
45,2021-02-15,36
46,2021-02-16,12
47,2021-02-17,11
48,2021-02-18,14
49,2021-02-19,23
50,2021-02-20,38
51,2021-02-21,44
52,2021-02-22,27
53,2021-02-23,14
54,2021-02-24,21
55,2021-02-25,31
56,2021-02-26,21
57,2021-02-27,9
58,2021-02-28,13
59,2021-03-01,10
60,2021-03-02,6
61,2021-03-03,23
62,2021-03-04,27
63,2021-03-05,23
64,2021-03-06,18
65,2021-03-07,14
66,2021-03-08,26
67,2021-03-09,30
68,2021-03-10,66
69,2021-03-11,89
70,2021-03-12,48
71,2021-03-13,36
72,2021-03-14,59
73,2021-03-15,61
74,2021-03-16,16
75,2021-03-17,18
76,2021-03-18,40
77,2021-03-19,27
78,2021-03-20,13
79,2021-03-21,32
80,2021-03-22,16
81,2021-03-23,30
82,2021-03-24,26
83,2021-03-25,32
84,2021-03-26,68
85,2021-03-27,34
86,2021-03-28,14
87,2021-03-29,50
88,2021-03-30,27
89,2021-03-31,17
90,2021-04-01,13
91,2021-04-02,13
92,2021-04-03,13
93,2021-04-04,5
94,2021-04-05,10
95,2021-04-06,22
96,2021-04-07,32
97,2021-04-08,15
98,2021-04-09,16
99,2021-04-10,18
100,2021-04-11,24
101,2021-04-12,20
102,2021-04-13,8
103,2021-04-14,14
104,2021-04-15,23
105,2021-04-16,19
106,2021-04-17,16
107,2021-04-18,13
108,2021-04-19,22
109,2021-04-20,34
110,2021-04-21,37
111,2021-04-22,37
112,2021-04-23,20
113,2021-04-24,11
114,2021-04-25,12
115,2021-04-26,13
116,2021-04-27,14
117,2021-04-28,24
118,2021-04-29,21
119,2021-04-30,17
120,2021-05-01,13
121,2021-05-02,7
122,2021-05-03,18
123,2021-05-04,16
124,2021-05-05,11
125,2021-05-06,17
126,2021-05-07,74
127,2021-05-08,82
128,2021-05-09,11
129,2021-05-10,9
130,2021-05-11,9
131,2021-05-12,10
132,2021-05-13,24
133,2021-05-14,31
134,2021-05-15,33
135,2021-05-16,4
136,2021-05-17,5
137,2021-05-18,14
138,2021-05-19,18
139,2021-05-20,12
140,2021-05-21,7
141,2021-05-22,15
142,2021-05-23,21
143,2021-05-24,33
144,2021-05-25,26
145,2021-05-26,15
146,2021-05-27,18
147,2021-05-28,21
148,2021-05-29,11
149,2021-05-30,13
150,2021-05-31,18
151,2021-06-01,22
152,2021-06-02,29
153,2021-06-03,17
154,2021-06-04,12
155,2021-06-05,23
156,2021-06-06,34
157,2021-06-07,17
158,2021-06-08,23
159,2021-06-09,23
160,2021-06-10,34
161,2021-06-11,13
162,2021-06-12,12
163,2021-06-13,19
164,2021-06-14,24
165,2021-06-15,16
166,2021-06-16,4
167,2021-06-17,8
168,2021-06-18,11
169,2021-06-19,26
170,2021-06-20,31
171,2021-06-21,24
172,2021-06-22,13
173,2021-06-23,10
174,2021-06-24,19
175,2021-06-25,24
176,2021-06-26,13
177,2021-06-27,12
178,2021-06-28,15
179,2021-06-29,19
180,2021-06-30,24
