,날짜,인천
0,2021-03-01,13
1,2021-03-02,7
2,2021-03-03,25
3,2021-03-04,26
4,2021-03-05,26
5,2021-03-06,18
6,2021-03-07,13
7,2021-03-08,28
8,2021-03-09,27
9,2021-03-10,58
10,2021-03-11,80
11,2021-03-12,57
12,2021-03-13,35
13,2021-03-14,53
14,2021-03-15,54
15,2021-03-16,18
16,2021-03-17,19
17,2021-03-18,39
18,2021-03-19,34
19,2021-03-20,22
20,2021-03-21,30
21,2021-03-22,15
22,2021-03-23,27
23,2021-03-24,22
24,2021-03-25,22
25,2021-03-26,67
26,2021-03-27,38
27,2021-03-28,11
28,2021-03-29,67
29,2021-03-30,28
30,2021-03-31,25
