,날짜,대전
0,2021-04-01,12
1,2021-04-02,13
2,2021-04-03,13
3,2021-04-04,3
4,2021-04-05,7
5,2021-04-06,17
6,2021-04-07,23
7,2021-04-08,17
8,2021-04-09,12
9,2021-04-10,15
10,2021-04-11,19
11,2021-04-12,13
12,2021-04-13,6
13,2021-04-14,11
14,2021-04-15,13
15,2021-04-16,15
16,2021-04-17,17
17,2021-04-18,10
18,2021-04-19,16
19,2021-04-20,25
20,2021-04-21,26
21,2021-04-22,23
22,2021-04-23,9
23,2021-04-24,10
24,2021-04-25,13
25,2021-04-26,9
26,2021-04-27,17
27,2021-04-28,20
28,2021-04-29,22
29,2021-04-30,16
