,날짜,서울
0,2021-03-01,10
1,2021-03-02,6
2,2021-03-03,23
3,2021-03-04,27
4,2021-03-05,23
5,2021-03-06,18
6,2021-03-07,14
7,2021-03-08,26
8,2021-03-09,30
9,2021-03-10,66
10,2021-03-11,89
11,2021-03-12,48
12,2021-03-13,36
13,2021-03-14,59
14,2021-03-15,61
15,2021-03-16,16
16,2021-03-17,18
17,2021-03-18,40
18,2021-03-19,27
19,2021-03-20,13
20,2021-03-21,32
21,2021-03-22,16
22,2021-03-23,30
23,2021-03-24,26
24,2021-03-25,32
25,2021-03-26,68
26,2021-03-27,34
27,2021-03-28,14
28,2021-03-29,50
29,2021-03-30,27
30,2021-03-31,17
